LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734687901.650198,205146.000,31560,2,GY,1,100,13.184
1734687901.690197,205186.000,31560,2,GY,1,100,18.402
1734687901.730197,205226.000,31575,3,GY,1,100,15.930
1734687901.770197,205266.000,31575,3,GY,1,100,0.610
1734687901.810196,205306.000,31575,3,GY,1,100,1.526
1734687901.850196,205346.000,31592,3,GY,1,100,-0.122
1734687901.890196,205386.000,31592,3,GY,1,100,-4.028
1734687901.930196,205426.000,31592,3,GY,1,100,0.793
1734687901.970195,205466.000,31609,2,GY,1,100,-8.759
1734687902.010195,205506.000,31609,2,GY,1,100,-17.273
1734687902.050195,205546.000,31626,3,GY,1,100,1.556
1734687902.090194,205586.000,31626,3,GY,1,100,4.700
1734687902.130194,205626.000,31626,3,GY,1,100,3.143
1734687902.170194,205666.000,31640,2,GY,1,100,4.761
1734687902.210194,205706.000,31640,2,GY,1,100,2.014
1734687902.250193,205746.000,31660,3,GY,1,100,1.221
1734687902.290193,205786.000,31660,3,GY,1,100,2.136
1734687902.330193,205826.000,31660,3,GY,1,100,0.458
1734687902.365526,205861.333,31676,3,GY,1,100,2.533
1734687902.400859,205896.667,31676,3,GY,1,100,3.845
1734687902.436192,205932.000,31676,3,GY,1,100,0.061
1734687902.476192,205972.000,31693,2,GY,1,100,-1.160
1734687902.516192,206012.000,31693,2,GY,1,100,-5.768
1734687902.556191,206052.000,31707,3,GY,1,100,-16.785
1734687902.596191,206092.000,31707,3,GY,1,100,-7.751
1734687902.636191,206132.000,31707,3,GY,1,100,6.104
1734687902.676191,206172.000,31725,2,GY,1,100,11.841
1734687902.716190,206212.000,31725,2,GY,1,100,9.888
1734687902.756190,206252.000,31741,3,GY,1,100,5.341
1734687902.796190,206292.000,31741,3,GY,1,100,2.136
1734687902.836190,206332.000,31741,3,GY,1,100,2.106
1734687902.876189,206372.000,31760,2,GY,1,100,0.946
1734687902.916189,206412.000,31760,2,GY,1,100,-1.129
1734687902.956189,206452.000,31775,3,GY,1,100,-1.404
1734687902.996189,206492.000,31775,3,GY,1,100,0.092
1734687903.036188,206532.000,31775,3,GY,1,100,0.183
1734687903.076188,206572.000,31794,2,GY,1,100,-3.448
1734687903.116188,206612.000,31794,2,GY,1,100,-4.120
1734687903.156188,206652.000,31810,3,GY,1,100,-0.427
1734687903.196187,206692.000,31810,3,GY,1,100,-0.061
1734687903.236187,206732.000,31810,3,GY,1,100,-1.160
1734687903.276187,206772.000,31828,2,GY,1,100,-2.350
1734687903.316186,206812.000,31828,2,GY,1,100,-1.556
1734687903.356186,206852.000,31842,3,GY,1,100,-3.906
1734687903.396186,206892.000,31842,3,GY,1,100,-6.866
1734687903.436186,206932.000,31842,3,GY,1,100,-3.510
1734687903.471852,206967.667,31859,3,GY,1,100,-1.129
1734687903.507519,207003.333,31859,3,GY,1,100,-0.458
1734687903.543185,207039.000,31859,3,GY,1,100,-2.563
1734687903.583185,207079.000,31878,3,GY,1,100,-11.414
1734687903.623184,207119.000,31878,3,GY,1,100,-17.090
1734687903.663184,207159.000,31878,3,GY,1,100,-0.244
1734687903.703184,207199.000,31895,2,GY,1,100,2.045
1734687903.743184,207239.000,31895,2,GY,1,100,3.143
1734687903.783183,207279.000,31911,3,GY,1,100,4.120
1734687903.823183,207319.000,31911,3,GY,1,100,2.563
1734687903.863183,207359.000,31911,3,GY,1,100,6.714
1734687903.903183,207399.000,31926,2,GY,1,100,5.493
1734687903.943182,207439.000,31926,2,GY,1,100,1.495
1734687903.983182,207479.000,31943,3,GY,1,100,1.404
1734687904.023182,207519.000,31943,3,GY,1,100,0.702
1734687904.063181,207559.000,31943,3,GY,1,100,-1.068
1734687904.103181,207599.000,31960,2,GY,1,100,-1.984
1734687904.143181,207639.000,31960,2,GY,1,100,-2.075
1734687904.183181,207679.000,31976,3,GY,1,100,-0.977
1734687904.223180,207719.000,31976,3,GY,1,100,1.404
1734687904.263180,207759.000,31976,3,GY,1,100,1.007
1734687904.303180,207799.000,31992,2,GY,1,100,0.275
1734687904.343180,207839.000,31992,2,GY,1,100,0.977
1734687904.383179,207879.000,32008,3,GY,1,100,0.519
1734687904.423179,207919.000,32008,3,GY,1,100,-0.793
1734687904.463179,207959.000,32008,3,GY,1,100,-2.167
1734687904.503179,207999.000,32025,3,GY,1,100,-3.143
1734687904.543178,208039.000,32025,3,GY,1,100,-11.993
1734687904.583178,208079.000,32025,3,GY,1,100,-5.280
1734687904.623178,208119.000,32042,2,GY,1,100,-3.418
1734687904.663177,208159.000,32042,2,GY,1,100,-1.862
1734687904.698511,208194.333,32057,3,GY,1,100,0.854
1734687904.733844,208229.667,32057,3,GY,1,100,0.153
1734687904.769177,208265.000,32057,3,GY,1,100,0.610
1734687904.809176,208305.000,32073,3,GY,1,100,0.732
1734687904.849176,208345.000,32073,3,GY,1,100,0.336
1734687904.889176,208385.000,32073,3,GY,1,100,2.533
1734687904.929176,208425.000,32097,2,GY,1,100,1.587
1734687904.969176,208465.000,32097,2,GY,1,100,1.678
1734687905.009175,208505.000,32114,3,GY,1,100,1.770
1734687905.049175,208545.000,32114,3,GY,1,100,0.214
1734687905.089175,208585.000,32114,3,GY,1,100,-2.502
1734687905.129174,208625.000,32130,2,GY,1,100,-1.343
1734687905.169174,208665.000,32130,2,GY,1,100,-0.641
1734687905.209174,208705.000,32145,3,GY,1,100,-4.150
1734687905.249174,208745.000,32145,3,GY,1,100,-5.341
1734687905.289173,208785.000,32145,3,GY,1,100,-2.441
1734687905.329173,208825.000,32163,2,GY,1,100,-0.732
1734687905.369173,208865.000,32163,2,GY,1,100,-1.831
1734687905.409173,208905.000,32179,3,GY,1,100,-3.723
1734687905.449172,208945.000,32179,3,GY,1,100,-0.671
1734687905.489172,208985.000,32179,3,GY,1,100,0.275
1734687905.529172,209025.000,32198,2,GY,1,100,-0.885
1734687905.569171,209065.000,32198,2,GY,1,100,-0.732
1734687905.609171,209105.000,32213,3,GY,1,100,-0.183
1734687905.649171,209145.000,32213,3,GY,1,100,-1.190
1734687905.689171,209185.000,32213,3,GY,1,100,-0.031
1734687905.729170,209225.000,32230,2,GY,1,100,-0.641
1734687905.769170,209265.000,32230,2,GY,1,100,-0.397
1734687905.804837,209300.667,32246,3,GY,1,100,-0.427
