LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1734687904.889176,208385.000,32069,3,AX,1,100,0.899
1734687904.929176,208425.000,32093,2,AX,1,100,0.891
1734687904.969176,208465.000,32093,2,AX,1,100,0.894
1734687905.009175,208505.000,32110,3,AX,1,100,0.895
1734687905.049175,208545.000,32110,3,AX,1,100,0.896
1734687905.089175,208585.000,32110,3,AX,1,100,0.889
1734687905.129174,208625.000,32126,2,AX,1,100,0.907
1734687905.169174,208665.000,32126,2,AX,1,100,0.907
1734687905.209174,208705.000,32141,3,AX,1,100,0.884
1734687905.249174,208745.000,32141,3,AX,1,100,0.879
1734687905.289173,208785.000,32141,3,AX,1,100,0.889
1734687905.329173,208825.000,32159,2,AX,1,100,0.897
1734687905.369173,208865.000,32159,2,AX,1,100,0.905
1734687905.409173,208905.000,32175,3,AX,1,100,0.884
1734687905.449172,208945.000,32175,3,AX,1,100,0.888
1734687905.489172,208985.000,32175,3,AX,1,100,0.896
1734687905.529172,209025.000,32194,2,AX,1,100,0.899
1734687905.569171,209065.000,32194,2,AX,1,100,0.895
1734687905.609171,209105.000,32209,3,AX,1,100,0.895
1734687905.649171,209145.000,32209,3,AX,1,100,0.887
1734687905.689171,209185.000,32209,3,AX,1,100,0.900
1734687905.729170,209225.000,32226,2,AX,1,100,0.891
1734687905.769170,209265.000,32226,2,AX,1,100,0.896
1734687905.804837,209300.667,32242,3,AX,1,100,0.889
1734687905.840503,209336.333,32242,3,AX,1,100,0.887
1734687905.876169,209372.000,32242,3,AX,1,100,0.899
1734687905.916169,209412.000,32260,3,AX,1,100,0.896
1734687905.956169,209452.000,32260,3,AX,1,100,0.890
1734687905.996169,209492.000,32260,3,AX,1,100,0.901
1734687906.036168,209532.000,32274,2,AX,1,100,0.885
1734687906.076168,209572.000,32274,2,AX,1,100,0.896
1734687906.116168,209612.000,32291,3,AX,1,100,0.895
1734687906.156168,209652.000,32291,3,AX,1,100,0.888
1734687906.196167,209692.000,32291,3,AX,1,100,0.891
1734687906.236167,209732.000,32307,2,AX,1,100,0.895
1734687906.276167,209772.000,32307,2,AX,1,100,0.891
1734687906.316167,209812.000,32325,3,AX,1,100,0.896
1734687906.356166,209852.000,32325,3,AX,1,100,0.893
1734687906.396166,209892.000,32325,3,AX,1,100,0.896
1734687906.436166,209932.000,32339,2,AX,1,100,0.894
1734687906.476166,209972.000,32339,2,AX,1,100,0.892
1734687906.516165,210012.000,32356,3,AX,1,100,0.893
1734687906.556165,210052.000,32356,3,AX,1,100,0.893
1734687906.596165,210092.000,32356,3,AX,1,100,0.893
1734687906.636164,210132.000,32373,2,AX,1,100,0.891
1734687906.676164,210172.000,32373,2,AX,1,100,0.891
1734687906.716164,210212.000,32390,3,AX,1,100,0.895
1734687906.756164,210252.000,32390,3,AX,1,100,0.891
1734687906.796163,210292.000,32390,3,AX,1,100,0.894
1734687906.836163,210332.000,32404,3,AX,1,100,0.886
1734687906.876163,210372.000,32404,3,AX,1,100,0.897
1734687906.916162,210412.000,32404,3,AX,1,100,0.891
1734687906.956162,210452.000,32422,2,AX,1,100,0.891
1734687906.996162,210492.000,32422,2,AX,1,100,0.894
1734687907.031828,210527.667,32440,3,AX,1,100,0.891
1734687907.067495,210563.333,32440,3,AX,1,100,0.895
1734687907.103161,210599.000,32440,3,AX,1,100,0.895
1734687907.143161,210639.000,32457,3,AX,1,100,0.892
1734687907.183161,210679.000,32457,3,AX,1,100,0.896
1734687907.223161,210719.000,32457,3,AX,1,100,0.889
1734687907.262660,210758.500,32472,2,AX,1,100,0.897
1734687907.302160,210798.000,32472,2,AX,1,100,0.896
1734687907.342160,210838.000,32489,3,AX,1,100,0.893
1734687907.382159,210878.000,32489,3,AX,1,100,0.890
1734687907.422159,210918.000,32489,3,AX,1,100,0.890
1734687907.462159,210958.000,32505,2,AX,1,100,0.896
1734687907.502159,210998.000,32505,2,AX,1,100,0.896
1734687907.542158,211038.000,32522,3,AX,1,100,0.895
1734687907.582158,211078.000,32522,3,AX,1,100,0.888
1734687907.622158,211118.000,32522,3,AX,1,100,0.891
1734687907.662158,211158.000,32539,2,AX,1,100,0.890
1734687907.702157,211198.000,32539,2,AX,1,100,0.897
1734687907.742157,211238.000,32556,3,AX,1,100,0.897
1734687907.782157,211278.000,32556,3,AX,1,100,0.894
1734687907.822157,211318.000,32556,3,AX,1,100,0.889
1734687907.862156,211358.000,32572,2,AX,1,100,0.887
1734687907.902156,211398.000,32572,2,AX,1,100,0.898
1734687907.942156,211438.000,32590,3,AX,1,100,0.898
1734687907.982156,211478.000,32590,3,AX,1,100,0.890
1734687908.022155,211518.000,32590,3,AX,1,100,0.893
1734687908.062155,211558.000,32608,2,AX,1,100,0.891
1734687908.102155,211598.000,32608,2,AX,1,100,0.900
1734687908.142154,211638.000,32623,3,AX,1,100,0.895
1734687908.182154,211678.000,32623,3,AX,1,100,0.888
1734687908.222154,211718.000,32623,3,AX,1,100,0.893
1734687908.257820,211753.667,32640,3,AX,1,100,0.893
1734687908.293487,211789.333,32640,3,AX,1,100,0.892
1734687908.329153,211825.000,32640,3,AX,1,100,0.898
1734687908.369153,211865.000,32657,2,AX,1,100,0.893
1734687908.409153,211905.000,32657,2,AX,1,100,0.886
1734687908.449152,211945.000,32675,3,AX,1,100,0.898
1734687908.489152,211985.000,32675,3,AX,1,100,0.898
1734687908.529152,212025.000,32675,3,AX,1,100,0.887
1734687908.569152,212065.000,32690,2,AX,1,100,0.896
1734687908.609151,212105.000,32690,2,AX,1,100,0.887
1734687908.649151,212145.000,32707,3,AX,1,100,0.893
