LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1735118218.412892,752131.000,54392,2,MX,1,100,-35
1735118218.452892,752171.000,54392,2,MX,1,100,-36
1735118218.492892,752211.000,54407,3,MX,1,100,-36
1735118218.532892,752251.000,54407,3,MX,1,100,-36
1735118218.572892,752291.000,54407,3,MX,1,100,-36
1735118218.612892,752331.000,54424,2,MX,1,100,-36
1735118218.652892,752371.000,54424,2,MX,1,100,-37
1735118218.692892,752411.000,54441,3,MX,1,100,-36
1735118218.732892,752451.000,54441,3,MX,1,100,-37
1735118218.772892,752491.000,54441,3,MX,1,100,-36
1735118218.812892,752531.000,54457,2,MX,1,100,-36
1735118218.852892,752571.000,54457,2,MX,1,100,-37
1735118218.892892,752611.000,54475,3,MX,1,100,-37
1735118218.932892,752651.000,54475,3,MX,1,100,-36
1735118218.972892,752691.000,54475,3,MX,1,100,-36
1735118219.012892,752731.000,54491,2,MX,1,100,-37
1735118219.052892,752771.000,54491,2,MX,1,100,-36
1735118219.092892,752811.000,54510,3,MX,1,100,-36
1735118219.132892,752851.000,54510,3,MX,1,100,-36
1735118219.172892,752891.000,54510,3,MX,1,100,-36
1735118219.212892,752931.000,54527,2,MX,1,100,-37
1735118219.252892,752971.000,54527,2,MX,1,100,-36
1735118219.292892,753011.000,54542,3,MX,1,100,-35
1735118219.332892,753051.000,54542,3,MX,1,100,-36
1735118219.372892,753091.000,54542,3,MX,1,100,-36
1735118219.408559,753126.667,54558,3,MX,1,100,-35
1735118219.444226,753162.333,54558,3,MX,1,100,-36
1735118219.479892,753198.000,54558,3,MX,1,100,-37
1735118219.519892,753238.000,54575,2,MX,1,100,-36
1735118219.559892,753278.000,54575,2,MX,1,100,-37
1735118219.599892,753318.000,54592,3,MX,1,100,-35
1735118219.639892,753358.000,54592,3,MX,1,100,-36
1735118219.679893,753398.000,54592,3,MX,1,100,-36
1735118219.719893,753438.000,54608,2,MX,1,100,-36
1735118219.759892,753478.000,54608,2,MX,1,100,-36
1735118219.799892,753518.000,54625,3,MX,1,100,-36
1735118219.839892,753558.000,54625,3,MX,1,100,-36
1735118219.879893,753598.000,54625,3,MX,1,100,-36
1735118219.919893,753638.000,54643,2,MX,1,100,-37
1735118219.959893,753678.000,54643,2,MX,1,100,-36
1735118219.999892,753718.000,54659,3,MX,1,100,-36
1735118220.039892,753758.000,54659,3,MX,1,100,-37
1735118220.079892,753798.000,54659,3,MX,1,100,-36
1735118220.119893,753838.000,54676,3,MX,1,100,-36
1735118220.159893,753878.000,54676,3,MX,1,100,-37
1735118220.199893,753918.000,54676,3,MX,1,100,-36
1735118220.239892,753958.000,54691,2,MX,1,100,-36
1735118220.279892,753998.000,54691,2,MX,1,100,-36
1735118220.319893,754038.000,54708,3,MX,1,100,-35
1735118220.359893,754078.000,54708,3,MX,1,100,-36
1735118220.399893,754118.000,54708,3,MX,1,100,-36
1735118220.439893,754158.000,54726,2,MX,1,100,-36
1735118220.479892,754198.000,54726,2,MX,1,100,-35
1735118220.516643,754234.750,54749,4,MX,1,100,-37
1735118220.553393,754271.500,54749,4,MX,1,100,-35
1735118220.590142,754308.250,54749,4,MX,1,100,-37
1735118220.626893,754345.000,54749,4,MX,1,100,-36
1735118220.666893,754385.000,54765,2,MX,1,100,-35
1735118220.706893,754425.000,54765,2,MX,1,100,-36
1735118220.746893,754465.000,54780,3,MX,1,100,-36
1735118220.786893,754505.000,54780,3,MX,1,100,-36
1735118220.826893,754545.000,54780,3,MX,1,100,-37
1735118220.866893,754585.000,54797,3,MX,1,100,-36
1735118220.906893,754625.000,54797,3,MX,1,100,-36
1735118220.946893,754665.000,54797,3,MX,1,100,-36
1735118220.986893,754705.000,54814,2,MX,1,100,-37
