LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1735118210.867224,744585.333,53147,3,AX,1,100,0.953
1735118210.906891,744625.000,53147,3,AX,1,100,0.950
1735118210.946891,744665.000,53165,2,AX,1,100,0.951
1735118210.986891,744705.000,53165,2,AX,1,100,0.952
1735118211.026891,744745.000,53179,3,AX,1,100,0.953
1735118211.066891,744785.000,53179,3,AX,1,100,0.951
1735118211.106891,744825.000,53179,3,AX,1,100,0.951
1735118211.142558,744860.667,53196,3,AX,1,100,0.952
1735118211.178225,744896.333,53196,3,AX,1,100,0.954
1735118211.213891,744932.000,53196,3,AX,1,100,0.952
1735118211.253891,744972.000,53213,2,AX,1,100,0.955
1735118211.293891,745012.000,53213,2,AX,1,100,0.955
1735118211.333891,745052.000,53230,3,AX,1,100,0.951
1735118211.373891,745092.000,53230,3,AX,1,100,0.953
1735118211.413891,745132.000,53230,3,AX,1,100,0.953
1735118211.453891,745172.000,53245,2,AX,1,100,0.951
1735118211.493891,745212.000,53245,2,AX,1,100,0.952
1735118211.533891,745252.000,53262,3,AX,1,100,0.951
1735118211.573891,745292.000,53262,3,AX,1,100,0.950
1735118211.613891,745332.000,53262,3,AX,1,100,0.950
1735118211.653891,745372.000,53280,2,AX,1,100,0.952
1735118211.693891,745412.000,53280,2,AX,1,100,0.956
1735118211.733891,745452.000,53297,3,AX,1,100,0.958
1735118211.773891,745492.000,53297,3,AX,1,100,0.953
1735118211.813891,745532.000,53297,3,AX,1,100,0.951
1735118211.853891,745572.000,53312,2,AX,1,100,0.953
1735118211.893891,745612.000,53312,2,AX,1,100,0.951
1735118211.933891,745652.000,53331,3,AX,1,100,0.951
1735118211.973891,745692.000,53331,3,AX,1,100,0.952
1735118212.013891,745732.000,53331,3,AX,1,100,0.956
1735118212.053891,745772.000,53347,3,AX,1,100,0.950
1735118212.093891,745812.000,53347,3,AX,1,100,0.955
1735118212.133891,745852.000,53347,3,AX,1,100,0.954
1735118212.173891,745892.000,53364,2,AX,1,100,0.953
1735118212.213891,745932.000,53364,2,AX,1,100,0.953
1735118212.249558,745967.667,53381,3,AX,1,100,0.949
1735118212.285225,746003.333,53381,3,AX,1,100,0.953
1735118212.320891,746039.000,53381,3,AX,1,100,0.951
1735118212.360891,746079.000,53398,2,AX,1,100,0.950
1735118212.400891,746119.000,53398,2,AX,1,100,0.953
1735118212.440891,746159.000,53414,3,AX,1,100,0.956
1735118212.480891,746199.000,53414,3,AX,1,100,0.949
1735118212.520891,746239.000,53414,3,AX,1,100,0.941
