LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1735116836.943402,1055257.000,38849,2,PR,1,100,131877
1735116836.983402,1055297.000,38849,2,PR,1,100,131871
1735116837.023401,1055337.000,38866,3,PR,1,100,131869
1735116837.063402,1055377.000,38866,3,PR,1,100,131873
1735116837.103402,1055417.000,38866,3,PR,1,100,131863
1735116837.143402,1055457.000,38883,2,PR,1,100,131848
1735116837.183402,1055497.000,38883,2,PR,1,100,131869
1735116837.223402,1055537.000,38898,3,PR,1,100,131862
1735116837.263402,1055577.000,38898,3,PR,1,100,131845
1735116837.303402,1055617.000,38898,3,PR,1,100,131833
1735116837.343402,1055657.000,38915,2,PR,1,100,131842
1735116837.383402,1055697.000,38915,2,PR,1,100,131803
1735116837.427736,1055741.333,38931,3,PR,1,100,131776
1735116837.472069,1055785.667,38931,3,PR,1,100,131780
1735116837.516402,1055830.000,38931,3,PR,1,100,131770
1735116837.556402,1055870.000,38948,2,PR,1,100,131750
1735116837.596403,1055910.000,38948,2,PR,1,100,131743
1735116837.636403,1055950.000,38965,3,PR,1,100,131770
1735116837.676403,1055990.000,38965,3,PR,1,100,131755
1735116837.716403,1056030.000,38965,3,PR,1,100,131774
1735116837.756403,1056070.000,38982,2,PR,1,100,131777
1735116837.796403,1056110.000,38982,2,PR,1,100,131752
1735116837.836403,1056150.000,38998,3,PR,1,100,131758
1735116837.876403,1056190.000,38998,3,PR,1,100,131767
1735116837.916403,1056230.000,38998,3,PR,1,100,131759
1735116837.956403,1056270.000,39016,2,PR,1,100,131764
1735116837.996403,1056310.000,39016,2,PR,1,100,131754
1735116838.036403,1056350.000,39032,3,PR,1,100,131744
1735116838.076403,1056390.000,39032,3,PR,1,100,131726
1735116838.116404,1056430.000,39032,3,PR,1,100,131748
1735116838.156404,1056470.000,39047,3,PR,1,100,131746
1735116838.196404,1056510.000,39047,3,PR,1,100,131729
1735116838.236404,1056550.000,39047,3,PR,1,100,131724
1735116838.276404,1056590.000,39063,2,PR,1,100,131712
1735116838.316404,1056630.000,39063,2,PR,1,100,131707
1735116838.356404,1056670.000,39081,3,PR,1,100,131660
1735116838.396404,1056710.000,39081,3,PR,1,100,131686
1735116838.436404,1056750.000,39081,3,PR,1,100,131708
1735116838.476404,1056790.000,39097,2,PR,1,100,131683
1735116838.516404,1056830.000,39097,2,PR,1,100,131685
1735116838.556404,1056870.000,39114,3,PR,1,100,131682
1735116838.596404,1056910.000,39114,3,PR,1,100,131690
1735116838.636405,1056950.000,39114,3,PR,1,100,131678
1735116838.676404,1056990.000,39131,2,PR,1,100,131673
1735116838.716405,1057030.000,39131,2,PR,1,100,131662
1735116838.756405,1057070.000,39148,3,PR,1,100,131658
1735116838.796405,1057110.000,39148,3,PR,1,100,131679
1735116838.836405,1057150.000,39148,3,PR,1,100,131671
1735116838.876405,1057190.000,39164,2,PR,1,100,131658
1735116838.916405,1057230.000,39164,2,PR,1,100,131653
1735116838.956405,1057270.000,39181,3,PR,1,100,131634
1735116838.996405,1057310.000,39181,3,PR,1,100,131645
1735116839.036405,1057350.000,39181,3,PR,1,100,131631
1735116839.076405,1057390.000,39202,5,PR,1,100,131655
1735116839.116405,1057430.000,39202,5,PR,1,100,131646
1735116839.156405,1057470.000,39202,5,PR,1,100,131629
1735116839.196405,1057510.000,39202,5,PR,1,100,131650
1735116839.236405,1057550.000,39202,5,PR,1,100,131630
1735116839.276406,1057590.000,39218,2,PR,1,100,131633
1735116839.316406,1057630.000,39218,2,PR,1,100,131626
1735116839.356406,1057670.000,39236,3,PR,1,100,131595
1735116839.396406,1057710.000,39236,3,PR,1,100,131582
1735116839.436406,1057750.000,39236,3,PR,1,100,131566
1735116839.476406,1057790.000,39252,2,PR,1,100,131583
1735116839.516406,1057830.000,39252,2,PR,1,100,131569
