LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1734243245.577765,204460.000,31240,2,MX,1,100,29
1734243245.617765,204500.000,31258,3,MX,1,100,29
1734243245.657766,204540.000,31258,3,MX,1,100,30
1734243245.697766,204580.000,31258,3,MX,1,100,29
1734243245.737767,204620.000,31272,2,MX,1,100,29
1734243245.777767,204660.000,31272,2,MX,1,100,29
1734243245.817768,204700.000,31291,3,MX,1,100,30
1734243245.857768,204740.000,31291,3,MX,1,100,29
1734243245.897768,204780.000,31291,3,MX,1,100,30
1734243245.937769,204820.000,31307,2,MX,1,100,29
1734243245.977770,204860.000,31307,2,MX,1,100,28
1734243246.013103,204895.333,31325,3,MX,1,100,28
1734243246.048437,204930.667,31325,3,MX,1,100,30
1734243246.083771,204966.000,31325,3,MX,1,100,29
1734243246.123771,205006.000,31340,3,MX,1,100,30
1734243246.163772,205046.000,31340,3,MX,1,100,29
1734243246.203772,205086.000,31340,3,MX,1,100,29
1734243246.243773,205126.000,31356,2,MX,1,100,29
1734243246.283773,205166.000,31356,2,MX,1,100,29
1734243246.323774,205206.000,31373,3,MX,1,100,29
1734243246.363774,205246.000,31373,3,MX,1,100,30
1734243246.403774,205286.000,31373,3,MX,1,100,29
1734243246.443775,205326.000,31392,2,MX,1,100,29
1734243246.483775,205366.000,31392,2,MX,1,100,29
1734243246.523776,205406.000,31407,3,MX,1,100,30
1734243246.563776,205446.000,31407,3,MX,1,100,30
1734243246.603777,205486.000,31407,3,MX,1,100,29
1734243246.643777,205526.000,31424,2,MX,1,100,29
1734243246.683778,205566.000,31424,2,MX,1,100,29
1734243246.723778,205606.000,31440,3,MX,1,100,30
1734243246.763779,205646.000,31440,3,MX,1,100,29
1734243246.803779,205686.000,31440,3,MX,1,100,29
1734243246.843780,205726.000,31457,2,MX,1,100,29
1734243246.883780,205766.000,31457,2,MX,1,100,29
1734243246.923780,205806.000,31474,3,MX,1,100,29
1734243246.963781,205846.000,31474,3,MX,1,100,30
1734243247.003781,205886.000,31474,3,MX,1,100,30
1734243247.043782,205926.000,31489,2,MX,1,100,30
1734243247.083782,205966.000,31489,2,MX,1,100,29
1734243247.123783,206006.000,31507,3,MX,1,100,29
1734243247.163783,206046.000,31507,3,MX,1,100,29
1734243247.203784,206086.000,31507,3,MX,1,100,30
1734243247.239117,206121.333,31524,3,MX,1,100,29
1734243247.274451,206156.667,31524,3,MX,1,100,31
1734243247.309785,206192.000,31524,3,MX,1,100,29
1734243247.349785,206232.000,31541,2,MX,1,100,29
