LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1734686477.845569,754271.000,55459,1,TL,1,100,2024-12-20_16-21-12-875416
1734686477.877570,754303.000,55462,1,TL,1,100,2024-12-20_16-21-17-853385
1734686482.960761,759386.000,56280,1,TL,1,100,2024-12-20_16-21-18-177376
1734686488.084954,764510.000,57115,1,TL,1,100,2024-12-20_16-21-23-075375
1734686488.087954,764513.000,57117,1,TL,1,100,2024-12-20_16-21-23-141407
1734686488.119955,764545.000,57120,1,TL,1,100,2024-12-20_16-21-28-107485
1734686493.222147,769647.000,57953,1,TL,1,100,2024-12-20_16-21-28-237477
1734686493.325150,769750.000,57956,1,TL,1,100,2024-12-20_16-21-33-234606
1734686498.344339,774769.000,58790,1,TL,1,100,2024-12-20_16-21-33-354628
1734686503.477532,779902.000,59623,1,TL,1,100,2024-12-20_16-21-38-440621
1734686503.479532,779904.000,59625,1,TL,1,100,2024-12-20_16-21-38-498618
1734686503.551534,779976.000,59628,1,TL,1,100,2024-12-20_16-21-43-520607
1734686508.607724,785032.000,60461,1,TL,1,100,2024-12-20_16-21-43-624608
1734686513.716916,790141.000,61295,1,TL,1,100,2024-12-20_16-21-48-686581
1734686513.718916,790143.000,61297,1,TL,1,100,2024-12-20_16-21-48-828596
1734686513.742917,790167.000,61300,1,TL,1,100,2024-12-20_16-21-53-722847
1734686518.825108,795249.000,62118,1,TL,1,100,2024-12-20_16-21-53-860856
1734686523.952301,800376.000,62952,1,TL,1,100,2024-12-20_16-21-59-037905
1734686523.954301,800378.000,62954,1,TL,1,100,2024-12-20_16-21-59-041706
1734686524.004303,800428.000,62957,1,TL,1,100,2024-12-20_16-22-03-972724
1734686529.087494,805511.000,63791,1,TL,1,100,2024-12-20_16-22-04-098774
1734686534.210686,810634.000,64625,1,TL,1,100,2024-12-20_16-22-09-122723
1734686534.215687,810639.000,64627,1,TL,1,100,2024-12-20_16-22-09-230783
1734686539.336879,815760.000,65460,1,TL,1,100,2024-12-20_16-22-14-298724
1734686539.338879,815762.000,65462,1,TL,1,100,2024-12-20_16-22-14-390742
1734686539.408882,815832.000,65465,1,TL,1,100,2024-12-20_16-22-19-390740
1734686544.464072,820887.000,763,1,TL,1,100,2024-12-20_16-22-19-468802
1734686544.574076,820997.000,766,1,TL,1,100,2024-12-20_16-22-24-547729
1734686549.601264,826024.000,1602,1,TL,1,100,2024-12-20_16-22-24-604106
1734686549.702268,826125.000,1605,1,TL,1,100,2024-12-20_16-22-29-652021
1734686554.707456,831130.000,2423,1,TL,1,100,2024-12-20_16-22-29-778018
1734686559.827649,836250.000,3261,1,TL,1,100,2024-12-20_16-22-34-722011
1734686559.829649,836252.000,3263,1,TL,1,100,2024-12-20_16-22-34-894039
1734686559.861650,836284.000,3266,1,TL,1,100,2024-12-20_16-22-39-847150
1734686564.935841,841358.000,4098,1,TL,1,100,2024-12-20_16-22-39-963213
1734686565.035844,841458.000,4101,1,TL,1,100,2024-12-20_16-22-44-994720
1734686570.071033,846493.000,4933,1,TL,1,100,2024-12-20_16-22-45-154502
1734686575.203226,851625.000,5772,1,TL,1,100,2024-12-20_16-22-50-115763
1734686575.205226,851627.000,5774,1,TL,1,100,2024-12-20_16-22-50-225797
1734686580.311418,856733.000,6593,1,TL,1,100,2024-12-20_16-22-55-333108
1734686580.313418,856735.000,6595,1,TL,1,100,2024-12-20_16-22-55-337059
1734686580.359420,856781.000,6598,1,TL,1,100,2024-12-20_16-23-00-330987
1734686585.419610,861841.000,7430,1,TL,1,100,2024-12-20_16-23-00-377055
1734686590.527802,866949.000,8252,1,TL,1,100,2024-12-20_16-23-05-570021
1734686590.532802,866954.000,8254,1,TL,1,100,2024-12-20_16-23-05-674034
1734686590.626806,867048.000,8257,1,TL,1,100,2024-12-20_16-23-10-559062
1734686595.646994,872068.000,9089,1,TL,1,100,2024-12-20_16-23-10-682996
1734686600.760186,877181.000,9924,1,TL,1,100,2024-12-20_16-23-15-732994
1734686600.764187,877185.000,9926,1,TL,1,100,2024-12-20_16-23-15-785048
1734686600.844190,877265.000,9929,1,TL,1,100,2024-12-20_16-23-20-809124
1734686605.868378,882289.000,10762,1,TL,1,100,2024-12-20_16-23-20-997005
1734686610.998571,887419.000,11597,1,TL,1,100,2024-12-20_16-23-25-915033
1734686611.001571,887422.000,11599,1,TL,1,100,2024-12-20_16-23-26-062992
1734686616.132764,892553.000,12433,1,TL,1,100,2024-12-20_16-23-31-058010
1734686616.135764,892556.000,12435,1,TL,1,100,2024-12-20_16-23-31-132029
1734686621.257957,897678.000,13271,1,TL,1,100,2024-12-20_16-23-36-251979
1734686621.262957,897683.000,13273,1,TL,1,100,2024-12-20_16-23-36-286017
1734686621.345960,897766.000,13276,1,TL,1,100,2024-12-20_16-23-41-270051
