LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1734686320.734166,597165.500,30026,2,AY,1,100,-0.012
1734686320.774668,597206.000,30026,2,AY,1,100,-0.027
1734686320.814336,597245.667,30044,3,AY,1,100,-0.031
1734686320.854004,597285.333,30044,3,AY,1,100,-0.027
1734686320.893672,597325.000,30044,3,AY,1,100,-0.029
1734686320.933674,597365.000,30061,2,AY,1,100,-0.030
1734686320.973675,597405.000,30061,2,AY,1,100,-0.022
1734686321.013677,597445.000,30075,3,AY,1,100,-0.021
1734686321.053678,597485.000,30075,3,AY,1,100,-0.020
1734686321.093680,597525.000,30075,3,AY,1,100,-0.018
1734686321.133681,597565.000,30093,3,AY,1,100,-0.026
1734686321.173683,597605.000,30093,3,AY,1,100,-0.026
1734686321.213684,597645.000,30093,3,AY,1,100,-0.009
1734686321.253686,597685.000,30111,2,AY,1,100,-0.018
1734686321.293687,597725.000,30111,2,AY,1,100,-0.021
1734686321.333689,597765.000,30128,3,AY,1,100,-0.017
1734686321.373690,597805.000,30128,3,AY,1,100,-0.026
1734686321.413692,597845.000,30128,3,AY,1,100,-0.031
1734686321.453693,597885.000,30143,2,AY,1,100,-0.022
1734686321.493695,597925.000,30143,2,AY,1,100,-0.019
1734686321.529030,597960.333,30160,3,AY,1,100,-0.022
1734686321.564364,597995.667,30160,3,AY,1,100,-0.019
1734686321.599699,598031.000,30160,3,AY,1,100,-0.017
1734686321.639700,598071.000,30176,3,AY,1,100,-0.022
1734686321.679702,598111.000,30176,3,AY,1,100,-0.020
1734686321.719703,598151.000,30176,3,AY,1,100,-0.017
1734686321.759705,598191.000,30194,2,AY,1,100,-0.024
1734686321.799706,598231.000,30194,2,AY,1,100,-0.021
1734686321.839708,598271.000,30209,3,AY,1,100,-0.022
1734686321.879709,598311.000,30209,3,AY,1,100,-0.025
1734686321.919711,598351.000,30209,3,AY,1,100,-0.018
1734686321.959712,598391.000,30227,2,AY,1,100,-0.021
1734686321.999714,598431.000,30227,2,AY,1,100,-0.023
1734686322.039715,598471.000,30243,3,AY,1,100,-0.023
1734686322.079717,598511.000,30243,3,AY,1,100,-0.026
1734686322.119718,598551.000,30243,3,AY,1,100,-0.023
1734686322.159720,598591.000,30261,2,AY,1,100,-0.026
1734686322.199721,598631.000,30261,2,AY,1,100,-0.029
1734686322.239723,598671.000,30277,3,AY,1,100,-0.019
1734686322.279724,598711.000,30277,3,AY,1,100,-0.021
1734686322.319726,598751.000,30277,3,AY,1,100,-0.027
1734686322.359727,598791.000,30292,2,AY,1,100,-0.025
1734686322.399729,598831.000,30292,2,AY,1,100,-0.029
1734686322.439730,598871.000,30309,3,AY,1,100,-0.030
1734686322.479732,598911.000,30309,3,AY,1,100,-0.027
1734686322.519733,598951.000,30309,3,AY,1,100,-0.023
