LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1734686320.186646,596618.000,29926,3,GX,1,100,0.275
1734686320.226647,596658.000,29945,2,GX,1,100,0.977
1734686320.266649,596698.000,29945,2,GX,1,100,2.319
1734686320.306650,596738.000,29962,3,GX,1,100,1.526
1734686320.346652,596778.000,29962,3,GX,1,100,5.219
1734686320.386653,596818.000,29962,3,GX,1,100,4.700
1734686320.422321,596853.667,29979,3,GX,1,100,-1.801
1734686320.457989,596889.333,29979,3,GX,1,100,0.824
1734686320.493657,596925.000,29979,3,GX,1,100,1.831
1734686320.533659,596965.000,29996,2,GX,1,100,2.106
1734686320.573660,597005.000,29996,2,GX,1,100,2.472
1734686320.613662,597045.000,30010,3,GX,1,100,2.167
1734686320.653663,597085.000,30010,3,GX,1,100,3.876
1734686320.693665,597125.000,30010,3,GX,1,100,4.059
1734686320.734166,597165.500,30028,2,GX,1,100,2.594
1734686320.774668,597206.000,30028,2,GX,1,100,0.580
1734686320.814336,597245.667,30046,3,GX,1,100,1.434
1734686320.854004,597285.333,30046,3,GX,1,100,2.380
1734686320.893672,597325.000,30046,3,GX,1,100,1.038
1734686320.933674,597365.000,30063,2,GX,1,100,-0.702
1734686320.973675,597405.000,30063,2,GX,1,100,-1.373
1734686321.013677,597445.000,30077,3,GX,1,100,-1.068
1734686321.053678,597485.000,30077,3,GX,1,100,-1.862
1734686321.093680,597525.000,30077,3,GX,1,100,-2.380
1734686321.133681,597565.000,30095,3,GX,1,100,-2.563
1734686321.173683,597605.000,30095,3,GX,1,100,-3.510
1734686321.213684,597645.000,30095,3,GX,1,100,-3.540
1734686321.253686,597685.000,30113,2,GX,1,100,-3.235
1734686321.293687,597725.000,30113,2,GX,1,100,-3.571
1734686321.333689,597765.000,30130,3,GX,1,100,-2.686
1734686321.373690,597805.000,30130,3,GX,1,100,-1.892
1734686321.413692,597845.000,30130,3,GX,1,100,-1.434
1734686321.453693,597885.000,30145,2,GX,1,100,-1.068
1734686321.493695,597925.000,30145,2,GX,1,100,-0.977
1734686321.529030,597960.333,30162,3,GX,1,100,-0.183
1734686321.564364,597995.667,30162,3,GX,1,100,0.427
1734686321.599699,598031.000,30162,3,GX,1,100,0.305
1734686321.639700,598071.000,30178,3,GX,1,100,0.458
1734686321.679702,598111.000,30178,3,GX,1,100,0.885
1734686321.719703,598151.000,30178,3,GX,1,100,0.702
1734686321.759705,598191.000,30196,2,GX,1,100,0.214
1734686321.799706,598231.000,30196,2,GX,1,100,0.336
1734686321.839708,598271.000,30211,3,GX,1,100,0.427
1734686321.879709,598311.000,30211,3,GX,1,100,0.183
1734686321.919711,598351.000,30211,3,GX,1,100,-0.214
1734686321.959712,598391.000,30229,2,GX,1,100,0.122
1734686321.999714,598431.000,30229,2,GX,1,100,-0.031
1734686322.039715,598471.000,30245,3,GX,1,100,-0.397
1734686322.079717,598511.000,30245,3,GX,1,100,0.214
1734686322.119718,598551.000,30245,3,GX,1,100,0.549
1734686322.159720,598591.000,30263,2,GX,1,100,0.031
1734686322.199721,598631.000,30263,2,GX,1,100,-0.031
1734686322.239723,598671.000,30279,3,GX,1,100,0.305
1734686322.279724,598711.000,30279,3,GX,1,100,0.824
1734686322.319726,598751.000,30279,3,GX,1,100,-0.183
1734686322.359727,598791.000,30294,2,GX,1,100,-0.214
1734686322.399729,598831.000,30294,2,GX,1,100,0.763
1734686322.439730,598871.000,30311,3,GX,1,100,0.214
1734686322.479732,598911.000,30311,3,GX,1,100,-0.061
1734686322.519733,598951.000,30311,3,GX,1,100,0.214
1734686322.559735,598991.000,30328,3,GX,1,100,-0.031
1734686322.599736,599031.000,30328,3,GX,1,100,0.275
1734686322.639738,599071.000,30328,3,GX,1,100,0.122
1734686322.679739,599111.000,30346,2,GX,1,100,-0.244
1734686322.719741,599151.000,30346,2,GX,1,100,0.427
1734686322.755409,599186.667,30362,3,GX,1,100,0.458
1734686322.791077,599222.333,30362,3,GX,1,100,0.092
1734686322.826745,599258.000,30362,3,GX,1,100,-0.214
1734686322.866746,599298.000,30378,3,GX,1,100,-0.305
1734686322.906748,599338.000,30378,3,GX,1,100,-0.519
1734686322.946749,599378.000,30378,3,GX,1,100,0.244
1734686322.986751,599418.000,30395,2,GX,1,100,0.763
1734686323.026752,599458.000,30395,2,GX,1,100,-0.275
1734686323.066754,599498.000,30412,3,GX,1,100,0.061
1734686323.106755,599538.000,30412,3,GX,1,100,0.275
1734686323.146757,599578.000,30412,3,GX,1,100,0.183
1734686323.186759,599618.000,30427,2,GX,1,100,0.092
1734686323.226760,599658.000,30427,2,GX,1,100,-0.183
1734686323.266762,599698.000,30443,3,GX,1,100,-0.275
1734686323.306763,599738.000,30443,3,GX,1,100,-1.648
1734686323.346765,599778.000,30443,3,GX,1,100,-1.221
1734686323.386766,599818.000,30460,2,GX,1,100,-1.556
1734686323.426768,599858.000,30460,2,GX,1,100,-0.977
1734686323.466769,599898.000,30479,3,GX,1,100,1.190
1734686323.506770,599938.000,30479,3,GX,1,100,1.831
1734686323.546772,599978.000,30479,3,GX,1,100,1.465
1734686323.586773,600018.000,30495,2,GX,1,100,1.862
1734686323.626775,600058.000,30495,2,GX,1,100,2.014
1734686323.666776,600098.000,30510,3,GX,1,100,1.221
1734686323.706778,600138.000,30510,3,GX,1,100,0.427
1734686323.746779,600178.000,30510,3,GX,1,100,-0.031
1734686323.786781,600218.000,30528,2,GX,1,100,-0.702
1734686323.826782,600258.000,30528,2,GX,1,100,-3.204
1734686323.862451,600293.667,30544,3,GX,1,100,-3.021
1734686323.898118,600329.333,30544,3,GX,1,100,-1.251
1734686323.933787,600365.000,30544,3,GX,1,100,-0.641
1734686323.973788,600405.000,30561,3,GX,1,100,0.122
1734686324.013789,600445.000,30561,3,GX,1,100,1.068
1734686324.053791,600485.000,30561,3,GX,1,100,1.495
1734686324.093543,600524.750,30584,4,GX,1,100,1.831
1734686324.133294,600564.500,30584,4,GX,1,100,2.380
1734686324.173045,600604.250,30584,4,GX,1,100,1.831
1734686324.212797,600644.000,30584,4,GX,1,100,1.007
1734686324.252799,600684.000,30599,2,GX,1,100,0.549
1734686324.292800,600724.000,30599,2,GX,1,100,0.427
1734686324.332802,600764.000,30617,3,GX,1,100,0.793
1734686324.372803,600804.000,30617,3,GX,1,100,0.793
1734686324.412805,600844.000,30617,3,GX,1,100,0.519
1734686324.452806,600884.000,30634,3,GX,1,100,0.122
1734686324.492808,600924.000,30634,3,GX,1,100,-0.275
1734686324.532809,600964.000,30634,3,GX,1,100,0.244
1734686324.572810,601004.000,30651,2,GX,1,100,-0.031
1734686324.612812,601044.000,30651,2,GX,1,100,-0.336
1734686324.652813,601084.000,30667,3,GX,1,100,0.061
1734686324.692815,601124.000,30667,3,GX,1,100,-2.106
1734686324.732816,601164.000,30667,3,GX,1,100,-3.662
1734686324.773318,601204.500,30683,2,GX,1,100,-2.106
1734686324.813820,601245.000,30683,2,GX,1,100,-1.770
1734686324.853488,601284.667,30699,3,GX,1,100,-2.777
1734686324.893156,601324.333,30699,3,GX,1,100,-2.380
1734686324.932824,601364.000,30699,3,GX,1,100,-1.587
1734686324.972826,601404.000,30716,2,GX,1,100,0.183
1734686325.012827,601444.000,30716,2,GX,1,100,0.916
1734686325.048495,601479.667,30733,3,GX,1,100,0.397
1734686325.084163,601515.333,30733,3,GX,1,100,-0.031
1734686325.119831,601551.000,30733,3,GX,1,100,-0.366
1734686325.159832,601591.000,30750,3,GX,1,100,-0.427
1734686325.199834,601631.000,30750,3,GX,1,100,0.305
1734686325.239836,601671.000,30750,3,GX,1,100,-0.244
1734686325.279837,601711.000,30766,2,GX,1,100,-0.885
1734686325.319839,601751.000,30766,2,GX,1,100,-0.092
1734686325.359840,601791.000,30785,3,GX,1,100,0.214
1734686325.399842,601831.000,30785,3,GX,1,100,0.275
1734686325.439843,601871.000,30785,3,GX,1,100,-0.244
1734686325.479845,601911.000,30802,2,GX,1,100,-0.549
1734686325.519846,601951.000,30802,2,GX,1,100,0.641
1734686325.559848,601991.000,30817,3,GX,1,100,0.641
1734686325.599849,602031.000,30817,3,GX,1,100,1.007
1734686325.639851,602071.000,30817,3,GX,1,100,1.129
1734686325.679852,602111.000,30835,2,GX,1,100,0.275
1734686325.719854,602151.000,30835,2,GX,1,100,0.275
1734686325.759855,602191.000,30853,3,GX,1,100,1.404
1734686325.799857,602231.000,30853,3,GX,1,100,2.625
1734686325.839858,602271.000,30853,3,GX,1,100,3.082
1734686325.879860,602311.000,30869,2,GX,1,100,3.296
1734686325.919861,602351.000,30869,2,GX,1,100,3.265
1734686325.959863,602391.000,30884,3,GX,1,100,4.486
1734686325.999864,602431.000,30884,3,GX,1,100,4.639
1734686326.039866,602471.000,30884,3,GX,1,100,5.554
1734686326.079867,602511.000,30901,3,GX,1,100,5.371
1734686326.119869,602551.000,30901,3,GX,1,100,3.448
1734686326.159870,602591.000,30901,3,GX,1,100,3.479
1734686326.199872,602631.000,30918,2,GX,1,100,3.967
1734686326.239873,602671.000,30918,2,GX,1,100,3.326
1734686326.275541,602706.667,30934,3,GX,1,100,1.617
1734686326.311209,602742.333,30934,3,GX,1,100,0.244
1734686326.346877,602778.000,30934,3,GX,1,100,-0.244
1734686326.386879,602818.000,30950,2,GX,1,100,-0.763
1734686326.426880,602858.000,30950,2,GX,1,100,-1.007
1734686326.466882,602898.000,30966,3,GX,1,100,-1.343
1734686326.506883,602938.000,30966,3,GX,1,100,-1.099
1734686326.546885,602978.000,30966,3,GX,1,100,-2.136
1734686326.586886,603018.000,30983,3,GX,1,100,-2.625
1734686326.626888,603058.000,30983,3,GX,1,100,-2.594
1734686326.666889,603098.000,30983,3,GX,1,100,-4.059
1734686326.706891,603138.000,30999,2,GX,1,100,-1.495
1734686326.746892,603178.000,30999,2,GX,1,100,0.244
1734686326.786894,603218.000,31019,3,GX,1,100,-0.854
1734686326.826895,603258.000,31019,3,GX,1,100,-0.183
1734686326.866897,603298.000,31019,3,GX,1,100,1.617
1734686326.906898,603338.000,31033,2,GX,1,100,0.580
1734686326.946900,603378.000,31033,2,GX,1,100,0.061
1734686326.986901,603418.000,31050,3,GX,1,100,-0.275
1734686327.026903,603458.000,31050,3,GX,1,100,-1.984
1734686327.066904,603498.000,31050,3,GX,1,100,-2.258
1734686327.106906,603538.000,31067,2,GX,1,100,-1.587
1734686327.146907,603578.000,31067,2,GX,1,100,-2.747
1734686327.186909,603618.000,31084,3,GX,1,100,-1.282
1734686327.226910,603658.000,31084,3,GX,1,100,-0.488
1734686327.266912,603698.000,31084,3,GX,1,100,-1.312
1734686327.306913,603738.000,31098,2,GX,1,100,-0.793
1734686327.346915,603778.000,31098,2,GX,1,100,-1.312
1734686327.382249,603813.333,31118,3,GX,1,100,-2.106
1734686327.417584,603848.667,31118,3,GX,1,100,-1.099
1734686327.452919,603884.000,31118,3,GX,1,100,-1.251
1734686327.492920,603924.000,31134,3,GX,1,100,-1.953
1734686327.532922,603964.000,31134,3,GX,1,100,-1.617
1734686327.572923,604004.000,31134,3,GX,1,100,-1.831
1734686327.612925,604044.000,31151,2,GX,1,100,-2.991
1734686327.652926,604084.000,31151,2,GX,1,100,-2.869
1734686327.692928,604124.000,31165,3,GX,1,100,-2.838
1734686327.732929,604164.000,31165,3,GX,1,100,-2.808
1734686327.772931,604204.000,31165,3,GX,1,100,-3.052
1734686327.812932,604244.000,31183,2,GX,1,100,-3.662
1734686327.852934,604284.000,31183,2,GX,1,100,-3.113
1734686327.892935,604324.000,31199,3,GX,1,100,-2.258
1734686327.932937,604364.000,31199,3,GX,1,100,-3.143
1734686327.972938,604404.000,31199,3,GX,1,100,-4.089
1734686328.012940,604444.000,31216,2,GX,1,100,-3.754
1734686328.052941,604484.000,31216,2,GX,1,100,-5.157
1734686328.092943,604524.000,31231,3,GX,1,100,-3.693
1734686328.132944,604564.000,31231,3,GX,1,100,-2.869
1734686328.172946,604604.000,31231,3,GX,1,100,-5.707
1734686328.212947,604644.000,31248,2,GX,1,100,-5.280
1734686328.252949,604684.000,31248,2,GX,1,100,-4.150
1734686328.292950,604724.000,31264,3,GX,1,100,-4.364
1734686328.332952,604764.000,31264,3,GX,1,100,-4.700
1734686328.372953,604804.000,31264,3,GX,1,100,-5.310
1734686328.412955,604844.000,31282,3,GX,1,100,-4.333
1734686328.452956,604884.000,31282,3,GX,1,100,-3.876
1734686328.492958,604924.000,31282,3,GX,1,100,-4.150
1734686328.532959,604964.000,31297,2,GX,1,100,-3.723
1734686328.572961,605004.000,31297,2,GX,1,100,-2.045
1734686328.608629,605039.667,31315,3,GX,1,100,-0.763
1734686328.644297,605075.333,31315,3,GX,1,100,-1.038
1734686328.679965,605111.000,31315,3,GX,1,100,-0.488
1734686328.719966,605151.000,31331,2,GX,1,100,0.793
1734686328.759968,605191.000,31331,2,GX,1,100,0.854
1734686328.799969,605231.000,31349,3,GX,1,100,0.641
