LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1735218304.845552,256969.000,39671,2,PR,1,100,150947
1735218304.889886,257013.333,39687,3,PR,1,100,150966
1735218304.934220,257057.667,39687,3,PR,1,100,150903
1735218304.978553,257102.000,39687,3,PR,1,100,150785
1735218305.018554,257142.000,39702,2,PR,1,100,150710
1735218305.058554,257182.000,39702,2,PR,1,100,150697
1735218305.098554,257222.000,39719,3,PR,1,100,150691
1735218305.138555,257262.000,39719,3,PR,1,100,150740
1735218305.178555,257302.000,39719,3,PR,1,100,150747
1735218305.218555,257342.000,39736,2,PR,1,100,150774
1735218305.258556,257382.000,39736,2,PR,1,100,150764
1735218305.298556,257422.000,39754,3,PR,1,100,150757
1735218305.338557,257462.000,39754,3,PR,1,100,150728
1735218305.378557,257502.000,39754,3,PR,1,100,150737
1735218305.418557,257542.000,39771,3,PR,1,100,150778
1735218305.458558,257582.000,39771,3,PR,1,100,150787
1735218305.498558,257622.000,39771,3,PR,1,100,150805
1735218305.538558,257662.000,39786,2,PR,1,100,150831
1735218305.578559,257702.000,39786,2,PR,1,100,150872
1735218305.618559,257742.000,39803,3,PR,1,100,150871
1735218305.658559,257782.000,39803,3,PR,1,100,150922
1735218305.698560,257822.000,39803,3,PR,1,100,150885
1735218305.738560,257862.000,39819,2,PR,1,100,150743
1735218305.778560,257902.000,39819,2,PR,1,100,150680
1735218305.818561,257942.000,39836,3,PR,1,100,150628
1735218305.858561,257982.000,39836,3,PR,1,100,150641
1735218305.898561,258022.000,39836,3,PR,1,100,150652
1735218305.938562,258062.000,39851,2,PR,1,100,150666
1735218305.978562,258102.000,39851,2,PR,1,100,150696
1735218306.018562,258142.000,39870,3,PR,1,100,150712
1735218306.058563,258182.000,39870,3,PR,1,100,150708
1735218306.098563,258222.000,39870,3,PR,1,100,150729
1735218306.138563,258262.000,39887,2,PR,1,100,150726
1735218306.178564,258302.000,39887,2,PR,1,100,150751
1735218306.218564,258342.000,39904,3,PR,1,100,150768
1735218306.258564,258382.000,39904,3,PR,1,100,150796
1735218306.298565,258422.000,39904,3,PR,1,100,150801
1735218306.338565,258462.000,39918,2,PR,1,100,150824
1735218306.378566,258502.000,39918,2,PR,1,100,150866
1735218306.418566,258542.000,39936,3,PR,1,100,150874
1735218306.458566,258582.000,39936,3,PR,1,100,150870
1735218306.498566,258622.000,39936,3,PR,1,100,150765
1735218306.538567,258662.000,39952,2,PR,1,100,150668
1735218306.578567,258702.000,39952,2,PR,1,100,150640
1735218306.618567,258742.000,39969,3,PR,1,100,150631
1735218306.658568,258782.000,39969,3,PR,1,100,150633
1735218306.698568,258822.000,39969,3,PR,1,100,150660
1735218306.738569,258862.000,39984,2,PR,1,100,150698
1735218306.778569,258902.000,39984,2,PR,1,100,150711
1735218306.818569,258942.000,40003,3,PR,1,100,150712
1735218306.858570,258982.000,40003,3,PR,1,100,150718
1735218306.898570,259022.000,40003,3,PR,1,100,150713
1735218306.938570,259062.000,40019,3,PR,1,100,150713
1735218306.978571,259102.000,40019,3,PR,1,100,150749
1735218307.018571,259142.000,40019,3,PR,1,100,150755
1735218307.058571,259182.000,40036,2,PR,1,100,150778
1735218307.098572,259222.000,40036,2,PR,1,100,150779
1735218307.138572,259262.000,40051,3,PR,1,100,150795
1735218307.178572,259302.000,40051,3,PR,1,100,150730
1735218307.218573,259342.000,40051,3,PR,1,100,150596
1735218307.258573,259382.000,40068,2,PR,1,100,150548
1735218307.298573,259422.000,40068,2,PR,1,100,150516
1735218307.338574,259462.000,40084,3,PR,1,100,150523
1735218307.378574,259502.000,40084,3,PR,1,100,150520
1735218307.418574,259542.000,40084,3,PR,1,100,150564
1735218307.458575,259582.000,40102,2,PR,1,100,150567
1735218307.498575,259622.000,40102,2,PR,1,100,150592
1735218307.538575,259662.000,40118,3,PR,1,100,150612
1735218307.578576,259702.000,40118,3,PR,1,100,150589
1735218307.618576,259742.000,40118,3,PR,1,100,150600
1735218307.658576,259782.000,40135,2,PR,1,100,150645
1735218307.698577,259822.000,40135,2,PR,1,100,150671
1735218307.738577,259862.000,40152,3,PR,1,100,150674
1735218307.778578,259902.000,40152,3,PR,1,100,150725
