LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1735218297.165486,249289.000,38420,2,MZ,1,100,-4
1735218297.205486,249329.000,38436,3,MZ,1,100,-5
1735218297.245487,249369.000,38436,3,MZ,1,100,-6
1735218297.285487,249409.000,38436,3,MZ,1,100,-4
1735218297.325487,249449.000,38453,3,MZ,1,100,-4
1735218297.365488,249489.000,38453,3,MZ,1,100,-3
1735218297.405488,249529.000,38453,3,MZ,1,100,-6
1735218297.445488,249569.000,38470,2,MZ,1,100,-5
1735218297.485489,249609.000,38470,2,MZ,1,100,-5
1735218297.521156,249644.667,38487,3,MZ,1,100,-5
1735218297.556823,249680.333,38487,3,MZ,1,100,-4
1735218297.592490,249716.000,38487,3,MZ,1,100,-5
1735218297.632490,249756.000,38503,3,MZ,1,100,-6
1735218297.672490,249796.000,38503,3,MZ,1,100,-5
1735218297.712491,249836.000,38503,3,MZ,1,100,-5
1735218297.752491,249876.000,38521,2,MZ,1,100,-6
1735218297.792491,249916.000,38521,2,MZ,1,100,-5
1735218297.832492,249956.000,38535,3,MZ,1,100,-4
1735218297.872492,249996.000,38535,3,MZ,1,100,-6
1735218297.912493,250036.000,38535,3,MZ,1,100,-6
1735218297.952493,250076.000,38552,2,MZ,1,100,-6
1735218297.992493,250116.000,38552,2,MZ,1,100,-5
1735218298.032493,250156.000,38568,3,MZ,1,100,-6
1735218298.072494,250196.000,38568,3,MZ,1,100,-5
1735218298.112494,250236.000,38568,3,MZ,1,100,-5
1735218298.152494,250276.000,38588,2,MZ,1,100,-5
1735218298.192495,250316.000,38588,2,MZ,1,100,-5
1735218298.232495,250356.000,38604,3,MZ,1,100,-5
1735218298.272496,250396.000,38604,3,MZ,1,100,-6
1735218298.312496,250436.000,38604,3,MZ,1,100,-6
1735218298.352496,250476.000,38621,2,MZ,1,100,-7
1735218298.392497,250516.000,38621,2,MZ,1,100,-5
1735218298.432497,250556.000,38638,3,MZ,1,100,-6
1735218298.472497,250596.000,38638,3,MZ,1,100,-6
1735218298.512498,250636.000,38638,3,MZ,1,100,-5
1735218298.552498,250676.000,38655,2,MZ,1,100,-4
1735218298.592498,250716.000,38655,2,MZ,1,100,-6
1735218298.632499,250756.000,38669,3,MZ,1,100,-6
1735218298.672499,250796.000,38669,3,MZ,1,100,-5
1735218298.712499,250836.000,38669,3,MZ,1,100,-5
1735218298.747833,250871.333,38687,3,MZ,1,100,-4
1735218298.783167,250906.667,38687,3,MZ,1,100,-4
1735218298.818500,250942.000,38687,3,MZ,1,100,-5
1735218298.858500,250982.000,38703,2,MZ,1,100,-6
1735218298.898501,251022.000,38703,2,MZ,1,100,-4
1735218298.938501,251062.000,38722,3,MZ,1,100,-4
1735218298.978502,251102.000,38722,3,MZ,1,100,-5
1735218299.018502,251142.000,38722,3,MZ,1,100,-4
1735218299.058502,251182.000,38742,3,MZ,1,100,-5
1735218299.098503,251222.000,38742,3,MZ,1,100,-5
1735218299.138503,251262.000,38742,3,MZ,1,100,-4
1735218299.178503,251302.000,38758,3,MZ,1,100,-4
1735218299.218504,251342.000,38758,3,MZ,1,100,-6
1735218299.258504,251382.000,38758,3,MZ,1,100,-5
1735218299.298504,251422.000,38773,2,MZ,1,100,-4
1735218299.338505,251462.000,38773,2,MZ,1,100,-6
1735218299.378505,251502.000,38790,3,MZ,1,100,-4
1735218299.418505,251542.000,38790,3,MZ,1,100,-5
1735218299.458506,251582.000,38790,3,MZ,1,100,-5
1735218299.498506,251622.000,38807,2,MZ,1,100,-4
1735218299.538507,251662.000,38807,2,MZ,1,100,-4
1735218299.578507,251702.000,38824,3,MZ,1,100,-5
1735218299.618507,251742.000,38824,3,MZ,1,100,-6
1735218299.658508,251782.000,38824,3,MZ,1,100,-5
1735218299.698508,251822.000,38838,2,MZ,1,100,-3
1735218299.738508,251862.000,38838,2,MZ,1,100,-4
1735218299.778508,251902.000,38858,3,MZ,1,100,-6
1735218299.818509,251942.000,38858,3,MZ,1,100,-5
1735218299.858509,251982.000,38858,3,MZ,1,100,-5
1735218299.898510,252022.000,38874,3,MZ,1,100,-4
1735218299.938510,252062.000,38874,3,MZ,1,100,-7
1735218299.978510,252102.000,38874,3,MZ,1,100,-5
1735218300.012011,252135.500,38891,2,MZ,1,100,-6
1735218300.045511,252169.000,38891,2,MZ,1,100,-5
1735218300.085511,252209.000,38906,3,MZ,1,100,-5
1735218300.125511,252249.000,38906,3,MZ,1,100,-6
1735218300.165512,252289.000,38906,3,MZ,1,100,-4
1735218300.205012,252328.500,38923,2,MZ,1,100,-5
1735218300.244513,252368.000,38923,2,MZ,1,100,-4
1735218300.284513,252408.000,38939,3,MZ,1,100,-5
1735218300.324513,252448.000,38939,3,MZ,1,100,-4
1735218300.364514,252488.000,38939,3,MZ,1,100,-5
1735218300.404514,252528.000,38957,3,MZ,1,100,-3
1735218300.444514,252568.000,38957,3,MZ,1,100,-6
1735218300.484515,252608.000,38957,3,MZ,1,100,-5
1735218300.524515,252648.000,38971,2,MZ,1,100,-6
1735218300.564515,252688.000,38971,2,MZ,1,100,-5
1735218300.604516,252728.000,38990,3,MZ,1,100,-6
1735218300.644516,252768.000,38990,3,MZ,1,100,-6
1735218300.684516,252808.000,38990,3,MZ,1,100,-4
1735218300.724517,252848.000,39006,2,MZ,1,100,-6
1735218300.764517,252888.000,39006,2,MZ,1,100,-4
1735218300.804517,252928.000,39024,3,MZ,1,100,-4
1735218300.844518,252968.000,39024,3,MZ,1,100,-6
1735218300.884518,253008.000,39024,3,MZ,1,100,-5
1735218300.924518,253048.000,39038,2,MZ,1,100,-4
1735218300.964519,253088.000,39038,2,MZ,1,100,-6
1735218301.004519,253128.000,39055,3,MZ,1,100,-5
1735218301.044519,253168.000,39055,3,MZ,1,100,-6
1735218301.084520,253208.000,39055,3,MZ,1,100,-6
1735218301.120187,253243.667,39072,3,MZ,1,100,-4
1735218301.155854,253279.333,39072,3,MZ,1,100,-5
1735218301.191521,253315.000,39072,3,MZ,1,100,-6
1735218301.231521,253355.000,39089,2,MZ,1,100,-6
1735218301.271521,253395.000,39089,2,MZ,1,100,-6
1735218301.311522,253435.000,39104,3,MZ,1,100,-5
1735218301.351522,253475.000,39104,3,MZ,1,100,-5
1735218301.391522,253515.000,39104,3,MZ,1,100,-5
1735218301.431523,253555.000,39123,2,MZ,1,100,-6
1735218301.471523,253595.000,39123,2,MZ,1,100,-5
1735218301.511523,253635.000,39139,3,MZ,1,100,-6
1735218301.551524,253675.000,39139,3,MZ,1,100,-4
1735218301.591524,253715.000,39139,3,MZ,1,100,-5
1735218301.631525,253755.000,39156,2,MZ,1,100,-5
1735218301.671525,253795.000,39156,2,MZ,1,100,-6
1735218301.711525,253835.000,39171,3,MZ,1,100,-5
1735218301.751526,253875.000,39171,3,MZ,1,100,-4
1735218301.791526,253915.000,39171,3,MZ,1,100,-6
1735218301.831526,253955.000,39188,2,MZ,1,100,-4
1735218301.871526,253995.000,39188,2,MZ,1,100,-5
1735218301.911527,254035.000,39204,3,MZ,1,100,-5
1735218301.951527,254075.000,39204,3,MZ,1,100,-4
1735218301.991528,254115.000,39204,3,MZ,1,100,-6
1735218302.031528,254155.000,39221,2,MZ,1,100,-5
1735218302.071528,254195.000,39221,2,MZ,1,100,-5
1735218302.111529,254235.000,39238,3,MZ,1,100,-4
1735218302.151529,254275.000,39238,3,MZ,1,100,-5
1735218302.191529,254315.000,39238,3,MZ,1,100,-6
1735218302.231530,254355.000,39255,2,MZ,1,100,-6
1735218302.271530,254395.000,39255,2,MZ,1,100,-6
1735218302.307197,254430.667,39271,3,MZ,1,100,-6
1735218302.342864,254466.333,39271,3,MZ,1,100,-6
1735218302.378531,254502.000,39271,3,MZ,1,100,-6
1735218302.418531,254542.000,39289,3,MZ,1,100,-6
1735218302.458532,254582.000,39289,3,MZ,1,100,-6
1735218302.498532,254622.000,39289,3,MZ,1,100,-6
1735218302.538032,254661.500,39305,2,MZ,1,100,-6
1735218302.577533,254701.000,39305,2,MZ,1,100,-4
1735218302.617533,254741.000,39320,3,MZ,1,100,-6
1735218302.657533,254781.000,39320,3,MZ,1,100,-6
1735218302.697534,254821.000,39320,3,MZ,1,100,-6
1735218302.737534,254861.000,39337,3,MZ,1,100,-5
1735218302.777534,254901.000,39337,3,MZ,1,100,-6
1735218302.817535,254941.000,39337,3,MZ,1,100,-5
1735218302.858035,254981.500,39354,2,MZ,1,100,-6
1735218302.898535,255022.000,39354,2,MZ,1,100,-5
1735218302.938202,255061.667,39372,3,MZ,1,100,-4
1735218302.977870,255101.333,39372,3,MZ,1,100,-6
1735218303.017536,255141.000,39372,3,MZ,1,100,-4
1735218303.058037,255181.500,39387,2,MZ,1,100,-5
1735218303.098537,255222.000,39387,2,MZ,1,100,-7
1735218303.138537,255262.000,39406,3,MZ,1,100,-5
1735218303.178538,255302.000,39406,3,MZ,1,100,-5
1735218303.218538,255342.000,39406,3,MZ,1,100,-5
1735218303.258538,255382.000,39423,2,MZ,1,100,-6
1735218303.298539,255422.000,39423,2,MZ,1,100,-5
1735218303.338539,255462.000,39441,3,MZ,1,100,-5
1735218303.378540,255502.000,39441,3,MZ,1,100,-6
1735218303.418540,255542.000,39441,3,MZ,1,100,-6
1735218303.454207,255577.667,39457,3,MZ,1,100,-6
1735218303.489874,255613.333,39457,3,MZ,1,100,-7
1735218303.525541,255649.000,39457,3,MZ,1,100,-6
1735218303.565541,255689.000,39473,2,MZ,1,100,-6
1735218303.605541,255729.000,39473,2,MZ,1,100,-5
1735218303.645542,255769.000,39490,3,MZ,1,100,-7
1735218303.685542,255809.000,39490,3,MZ,1,100,-6
1735218303.725543,255849.000,39490,3,MZ,1,100,-5
1735218303.765543,255889.000,39509,2,MZ,1,100,-7
1735218303.805543,255929.000,39509,2,MZ,1,100,-6
1735218303.845544,255969.000,39525,3,MZ,1,100,-6
1735218303.885544,256009.000,39525,3,MZ,1,100,-6
