LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1734423760.299536,267658,41381,1,SR,1,100,0.333333
1734423761.432538,268791,41549,1,SR,1,100,0.133333
1734423761.698538,269057,41584,1,SR,1,100,0.133333
1734423762.765540,270124,41804,1,SR,1,100,0.333333
1734423771.364552,278723,43254,1,SR,1,100,0.600000
1734423773.430555,280789,43607,1,SR,1,100,0.600000
1734423774.164556,281523,43644,1,SR,1,100,0.066667
1734423774.764557,282123,43751,1,SR,1,100,0.133333
1734423790.029579,297388,46209,1,SR,1,100,0.266667
1734423790.429579,297788,46294,1,SR,1,100,0.400000
1734423811.560609,318919,49725,1,SR,1,100,0.466667
1734423827.958632,335317,52391,1,SR,1,100,0.266667
1734423831.424638,338783,52999,1,SR,1,100,0.533333
1734423832.492639,339851,53133,1,SR,1,100,0.333333
1734423833.225640,340584,53222,1,SR,1,100,0.066667
1734423833.558640,340917,53375,1,SR,1,100,0.666667
1734423834.758642,342117,53526,1,SR,1,100,0.400000
1734423836.091644,343450,53699,1,SR,1,100,0.066667
1734423836.291644,343650,53768,1,SR,1,100,0.333333
1734423840.490650,347849,54505,1,SR,1,100,0.600000
1734423870.821694,378180,59483,1,SR,1,100,0.600000
1734423872.620696,379979,59690,1,SR,1,100,0.066667
1734423878.220704,385579,60634,1,SR,1,100,0.200000
1734423879.220706,386579,60801,1,SR,1,100,0.266667
1734423881.886709,389245,61278,1,SR,1,100,0.600000
1734423892.752725,400111,63093,1,SR,1,100,0.733333
1734423908.084747,415443,59,1,SR,1,100,0.666667
1734423909.683749,417042,480,1,SR,1,100,1.666667
1734423940.414793,447773,5302,1,SR,1,100,0.200000
1734423944.680799,452039,6058,1,SR,1,100,0.466667
1734423945.946800,453305,6313,1,SR,1,100,0.733333
1734423948.013803,455372,6670,1,SR,1,100,0.933333
1734423949.079805,456438,6772,1,SR,1,100,0.400000
1734423949.747806,457106,6907,1,SR,1,100,0.533333
1734423961.812823,469171,8806,1,SR,1,100,0.133333
1734423962.345824,469704,8926,1,SR,1,100,0.333333
1734423982.077852,489436,12189,1,SR,1,100,0.533333
1734423984.476855,491835,12615,1,SR,1,100,0.600000
1734424009.341891,516700,16626,1,SR,1,100,0.133333
1734424050.603949,557962,23563,1,SR,1,100,1.133333
1734424053.336953,560695,23983,1,SR,1,100,1.000000
1734424056.402958,563761,24407,1,SR,1,100,0.466667
1734424071.134979,578493,26922,1,SR,1,100,1.000000
1734424081.866994,589225,28599,1,SR,1,100,0.533333
1734424085.867000,593225,29202,1,SR,1,100,0.133333
1734424087.533002,594891,29543,1,SR,1,100,0.533333
1734424088.601003,595959,29680,1,SR,1,100,0.266667
1734424097.999017,605357,31331,1,SR,1,100,1.000000
1734424099.399019,606757,31416,1,SR,1,100,0.133333
1734424111.064035,618422,33349,1,SR,1,100,0.466667
1734424112.465037,619823,33539,1,SR,1,100,0.333333
1734424125.330056,632688,35705,1,SR,1,100,0.666667
1734424126.663058,634021,35858,1,SR,1,100,0.333333
1734424127.929060,635287,36118,1,SR,1,100,0.600000
1734424132.263066,639621,36801,1,SR,1,100,0.466667
1734424134.862069,642220,37178,1,SR,1,100,0.133333
1734424135.129070,642487,37228,1,SR,1,100,0.133333
1734424137.328073,644686,37631,1,SR,1,100,0.400000
1734424146.861086,654219,39213,1,SR,1,100,0.466667
1734424161.459107,668817,41565,1,SR,1,100,0.266667
1734424218.120188,725478,50982,1,SR,1,100,1.266667
1734424219.520190,726878,51068,1,SR,1,100,0.333333
1734424257.783244,765141,57450,1,SR,1,100,1.133333
1734424260.449248,767807,57750,1,SR,1,100,0.200000
1734424272.048265,779406,59637,1,SR,1,100,0.333333
1734424296.912300,804270,63658,1,SR,1,100,0.400000
1734424302.178308,809536,64484,1,SR,1,100,0.333333
1734424306.711314,814069,65185,1,SR,1,100,0.066667
1734424311.644321,819002,505,1,SR,1,100,0.333333
1734424312.244322,819602,581,1,SR,1,100,0.133333
1734424312.911323,820269,850,1,SR,1,100,1.066667
1734424315.577327,822935,1201,1,SR,1,100,0.533333
1734424338.775360,846133,4957,1,SR,1,100,0.133333
1734424363.172394,870530,9243,1,SR,1,100,1.866667
1734424385.837426,893195,12882,1,SR,1,100,1.333333
1734424388.770431,896128,13206,1,SR,1,100,0.333333
1734424389.904432,897262,13370,1,SR,1,100,0.133333
1734424391.703435,899061,13843,1,SR,1,100,1.266667
1734424402.568450,909926,15508,1,SR,1,100,0.400000
1734424403.102451,910460,15628,1,SR,1,100,0.600000
1734424410.102461,917460,16811,1,SR,1,100,0.933333
1734424411.167463,918525,16931,1,SR,1,100,0.533333
1734424412.501464,919859,17083,1,SR,1,100,0.133333
1734424418.900474,926258,18162,1,SR,1,100,0.200000
1734424419.967475,927325,18355,1,SR,1,100,0.266667
1734424422.101478,929459,18691,1,SR,1,100,0.133333
1734424422.366478,929724,18741,1,SR,1,100,0.200000
1734424426.833485,934191,19671,1,SR,1,100,1.333333
1734424430.632490,937990,20114,1,SR,1,100,0.266667
1734424447.031514,954389,22922,1,SR,1,100,0.933333
1734424448.497516,955855,23379,1,SR,1,100,2.266667
1734424451.163519,958521,23482,1,SR,1,100,0.200000
1734424454.830525,962188,24173,1,SR,1,100,0.733333
1734424455.964526,963322,24256,1,SR,1,100,0.066667
1734424456.164527,963522,24343,1,SR,1,100,0.333333
1734424472.895550,980253,27266,1,SR,1,100,1.533333
1734424488.760573,996118,29720,1,SR,1,100,0.533333
1734424500.559590,1007917,31603,1,SR,1,100,0.133333
1734424503.892595,1011250,32195,1,SR,1,100,0.466667
1734424504.492595,1011850,32248,1,SR,1,100,0.133333
1734424513.024607,1020382,33768,1,SR,1,100,1.000000
1734424514.157609,1021515,33837,1,SR,1,100,0.266667
1734424523.957623,1031315,35372,1,SR,1,100,0.466667
1734424534.222638,1041580,37085,1,SR,1,100,0.600000
1734424551.087662,1058445,39990,1,SR,1,100,1.600000
1734424553.621665,1060979,40192,1,SR,1,100,0.266667
1734424566.419683,1073777,42385,1,SR,1,100,0.866667
1734424582.217706,1089575,44912,1,SR,1,100,0.533333
1734424583.017707,1090375,45005,1,SR,1,100,0.266667
1734424607.615742,1114973,49026,1,SR,1,100,0.200000
1734424631.545776,1138903,53035,1,SR,1,100,0.800000
1734424633.013778,1140371,53362,1,SR,1,100,1.266667
1734424634.945781,1142303,53479,1,SR,1,100,0.133333
1734424647.144799,1154502,55512,1,SR,1,100,0.333333
1734424653.477808,1160835,56761,1,SR,1,100,1.600000
1734424655.210810,1162568,56880,1,SR,1,100,0.600000
1734424664.542823,1171900,58384,1,SR,1,100,0.400000
1734424685.341853,1192699,61849,1,SR,1,100,0.933333
1734424686.940855,1194298,62154,1,SR,1,100,1.266667
1734424688.340857,1195698,62207,1,SR,1,100,0.133333
1734424696.806869,1204164,63640,1,SR,1,100,0.800000
1734424697.873871,1205231,63794,1,SR,1,100,0.666667
1734424701.139875,1208497,64289,1,SR,1,100,0.400000
1734424701.672876,1209030,64373,1,SR,1,100,0.333333
1734424702.138877,1209496,64425,1,SR,1,100,0.200000
1734424702.606877,1209964,64679,1,SR,1,100,1.266667
1734424705.471881,1212829,65052,1,SR,1,100,0.666667
1734424706.538883,1213896,65121,1,SR,1,100,0.066667
1734424714.071894,1221429,858,1,SR,1,100,0.200000
1734424720.003902,1227361,1853,1,SR,1,100,0.466667
1734424724.136908,1231494,2563,1,SR,1,100,0.666667
1734424741.002932,1248360,5348,1,SR,1,100,0.866667
1734424759.800959,1267158,8347,1,SR,1,100,0.533333
1734424763.533964,1270891,9068,1,SR,1,100,1.200000
1734424776.198982,1283556,11176,1,SR,1,100,1.400000
1734424778.398985,1285756,11469,1,SR,1,100,0.866667
1734424779.397987,1286755,11555,1,SR,1,100,0.400000
1734424787.330998,1294688,12871,1,SR,1,100,0.600000
