LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1734423867.854689,375213.000,58901,1,B%,1,100,64
1734423872.853696,380212.000,59724,1,B%,1,100,64
1734423877.853703,385212.000,60531,1,B%,1,100,63
1734423882.852711,390211.000,61344,1,B%,1,100,64
1734423887.852718,395211.000,62168,1,B%,1,100,63
1734423892.851725,400210.000,62988,1,B%,1,100,64
1734423897.851732,405210.000,63814,1,B%,1,100,63
1734423902.850739,410209.000,64621,1,B%,1,100,63
1734423907.850746,415209.000,65461,1,B%,1,100,63
1734423912.849753,420208.000,731,1,B%,1,100,63
1734423917.849761,425208.000,1556,1,B%,1,100,63
1734423922.848768,430207.000,2377,1,B%,1,100,63
1734423927.848775,435207.000,3199,1,B%,1,100,63
1734423932.847782,440206.000,4022,1,B%,1,100,63
1734423937.847789,445206.000,4845,1,B%,1,100,63
1734423942.846796,450205.000,5668,1,B%,1,100,63
1734423947.846803,455205.000,6512,1,B%,1,100,63
1734423952.845810,460204.000,7325,1,B%,1,100,62
1734423957.845817,465204.000,8135,1,B%,1,100,63
1734423962.844825,470203.000,8959,1,B%,1,100,63
1734423967.844832,475203.000,9784,1,B%,1,100,63
1734423972.843839,480202.000,10607,1,B%,1,100,62
1734423977.843846,485202.000,11411,1,B%,1,100,61
1734423982.842853,490201.000,12241,1,B%,1,100,62
1734423987.842860,495201.000,13069,1,B%,1,100,62
1734423992.841867,500200.000,13889,1,B%,1,100,62
1734423997.841874,505200.000,14693,1,B%,1,100,62
1734424002.840881,510199.000,15533,1,B%,1,100,61
1734424007.840889,515199.000,16357,1,B%,1,100,62
1734424012.839896,520198.000,17164,1,B%,1,100,61
1734424017.839903,525198.000,18004,1,B%,1,100,62
1734424022.838910,530197.000,18809,1,B%,1,100,62
1734424027.838917,535197.000,19630,1,B%,1,100,63
1734424032.837924,540196.000,20453,1,B%,1,100,61
1734424037.837931,545196.000,21278,1,B%,1,100,61
1734424042.836938,550195.000,22081,1,B%,1,100,61
1734424047.836946,555195.000,22923,1,B%,1,100,61
1734424052.835953,560194.000,23748,1,B%,1,100,61
1734424057.835960,565194.000,24574,1,B%,1,100,61
1734424062.834967,570193.000,25395,1,B%,1,100,61
1734424067.834974,575193.000,26217,1,B%,1,100,61
1734424072.833981,580192.000,27039,1,B%,1,100,60
1734424077.833988,585192.000,27859,1,B%,1,100,61
1734424082.832995,590191.000,28683,1,B%,1,100,61
1734424087.833002,595191.000,29510,1,B%,1,100,61
1734424092.832010,600190.000,30322,1,B%,1,100,60
1734424097.832017,605190.000,31147,1,B%,1,100,61
1734424102.831024,610189.000,31954,1,B%,1,100,60
1734424107.831031,615189.000,32748,1,B%,1,100,60
1734424112.830038,620188.000,33556,1,B%,1,100,60
1734424117.830045,625188.000,34360,1,B%,1,100,60
1734424122.829052,630187.000,35185,1,B%,1,100,60
1734424127.829059,635187.000,36015,1,B%,1,100,60
1734424132.828066,640186.000,36819,1,B%,1,100,60
1734424137.828074,645186.000,37647,1,B%,1,100,60
1734424142.827081,650185.000,38472,1,B%,1,100,60
1734424147.827088,655185.000,39299,1,B%,1,100,59
1734424152.826095,660184.000,40116,1,B%,1,100,60
1734424157.826102,665184.000,40940,1,B%,1,100,59
1734424162.825109,670183.000,41749,1,B%,1,100,60
1734424167.825116,675183.000,42569,1,B%,1,100,59
1734424172.824123,680182.000,43376,1,B%,1,100,60
1734424177.824131,685182.000,44202,1,B%,1,100,59
1734424182.823138,690181.000,45022,1,B%,1,100,59
1734424187.823145,695181.000,45844,1,B%,1,100,59
1734424192.822152,700180.000,46653,1,B%,1,100,59
1734424197.822159,705180.000,47459,1,B%,1,100,59
1734424202.821166,710179.000,48282,1,B%,1,100,59
1734424207.821173,715179.000,49104,1,B%,1,100,59
1734424212.820180,720178.000,49922,1,B%,1,100,59
1734424217.820187,725178.000,50727,1,B%,1,100,58
1734424222.819195,730177.000,51557,1,B%,1,100,59
1734424227.819202,735177.000,52380,1,B%,1,100,59
1734424232.818209,740176.000,53184,1,B%,1,100,58
1734424237.818216,745176.000,54011,1,B%,1,100,58
1734424242.817223,750175.000,54814,1,B%,1,100,58
1734424247.817230,755175.000,55635,1,B%,1,100,58
1734424252.816237,760174.000,56459,1,B%,1,100,58
1734424257.816244,765174.000,57281,1,B%,1,100,58
1734424262.815251,770173.000,58105,1,B%,1,100,58
1734424267.815259,775173.000,58893,1,B%,1,100,58
1734424272.814266,780172.000,59703,1,B%,1,100,58
1734424277.814273,785172.000,60510,1,B%,1,100,57
1734424282.813280,790171.000,61273,1,B%,1,100,57
1734424287.813287,795171.000,62094,1,B%,1,100,58
1734424292.812294,800170.000,62919,1,B%,1,100,57
1734424297.812301,805170.000,63744,1,B%,1,100,58
1734424302.811308,810169.000,64551,1,B%,1,100,57
1734424307.811316,815169.000,65355,1,B%,1,100,57
1734424312.810323,820168.000,663,1,B%,1,100,57
1734424317.810330,825168.000,1490,1,B%,1,100,58
1734424322.809337,830167.000,2312,1,B%,1,100,57
1734424327.809344,835167.000,3130,1,B%,1,100,57
1734424332.808351,840166.000,3950,1,B%,1,100,57
1734424337.808358,845166.000,4771,1,B%,1,100,56
1734424342.807365,850165.000,5594,1,B%,1,100,57
1734424347.807372,855165.000,6407,1,B%,1,100,56
1734424352.806380,860164.000,7228,1,B%,1,100,56
1734424357.806387,865164.000,8050,1,B%,1,100,57
1734424362.805394,870163.000,8869,1,B%,1,100,56
1734424367.805401,875163.000,9707,1,B%,1,100,56
1734424372.804408,880162.000,10514,1,B%,1,100,56
1734424377.804415,885162.000,11354,1,B%,1,100,56
1734424382.803422,890161.000,12175,1,B%,1,100,56
