LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1734423541.761559,49120.333,5483,3,MZ,1,100, 1
1734423541.801892,49160.667,5483,3,MZ,1,100, 0
1734423541.842225,49201.000,5483,3,MZ,1,100, 0
1734423541.881725,49240.500,5501,2,MZ,1,100, 0
1734423541.921226,49280.000,5501,2,MZ,1,100, 0
1734423541.961226,49320.000,5519,3,MZ,1,100,-1
1734423542.001225,49360.000,5519,3,MZ,1,100, 0
1734423542.041226,49400.000,5519,3,MZ,1,100, 0
1734423542.081226,49440.000,5534,2,MZ,1,100, 0
1734423542.121226,49480.000,5534,2,MZ,1,100, 0
1734423542.161226,49520.000,5551,3,MZ,1,100, 0
1734423542.201226,49560.000,5551,3,MZ,1,100,-1
1734423542.241226,49600.000,5551,3,MZ,1,100, 0
1734423542.281226,49640.000,5570,2,MZ,1,100, 0
1734423542.321226,49680.000,5570,2,MZ,1,100, 0
1734423542.361226,49720.000,5586,3,MZ,1,100, 0
1734423542.401226,49760.000,5586,3,MZ,1,100, 0
1734423542.441226,49800.000,5586,3,MZ,1,100, 0
1734423542.481226,49840.000,5601,2,MZ,1,100, 0
1734423542.521226,49880.000,5601,2,MZ,1,100,-1
1734423542.561226,49920.000,5620,3,MZ,1,100, 0
1734423542.601226,49960.000,5620,3,MZ,1,100,-2
1734423542.641227,50000.000,5620,3,MZ,1,100,-2
1734423542.676560,50035.333,5637,3,MZ,1,100,-1
1734423542.711893,50070.667,5637,3,MZ,1,100,-1
1734423542.747227,50106.000,5637,3,MZ,1,100,-2
1734423542.787227,50146.000,5653,2,MZ,1,100,-4
1734423542.827227,50186.000,5653,2,MZ,1,100,-2
1734423542.867227,50226.000,5669,3,MZ,1,100,-2
1734423542.907227,50266.000,5669,3,MZ,1,100,-2
1734423542.947227,50306.000,5669,3,MZ,1,100,-3
1734423542.987227,50346.000,5687,3,MZ,1,100,-2
1734423543.027227,50386.000,5687,3,MZ,1,100,-2
1734423543.067227,50426.000,5687,3,MZ,1,100,-2
