LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1735117623.712111,157431.000,22962,3,AY,1,100,-0.094
1735117623.752111,157471.000,22962,3,AY,1,100,-0.087
1735117623.792111,157511.000,22962,3,AY,1,100,-0.086
1735117623.832112,157551.000,22978,2,AY,1,100,-0.087
1735117623.872112,157591.000,22978,2,AY,1,100,-0.091
1735117623.912112,157631.000,22996,3,AY,1,100,-0.088
1735117623.952112,157671.000,22996,3,AY,1,100,-0.087
1735117623.992112,157711.000,22996,3,AY,1,100,-0.091
1735117624.032112,157751.000,23010,2,AY,1,100,-0.087
1735117624.072112,157791.000,23010,2,AY,1,100,-0.088
1735117624.111778,157830.667,23029,3,AY,1,100,-0.092
1735117624.151445,157870.333,23029,3,AY,1,100,-0.083
1735117624.191112,157910.000,23029,3,AY,1,100,-0.083
1735117624.231445,157950.333,23046,3,AY,1,100,-0.086
1735117624.271779,157990.667,23046,3,AY,1,100,-0.088
1735117624.312112,158031.000,23046,3,AY,1,100,-0.086
1735117624.352112,158071.000,23063,2,AY,1,100,-0.086
1735117624.392112,158111.000,23063,2,AY,1,100,-0.087
1735117624.432112,158151.000,23079,3,AY,1,100,-0.085
1735117624.472112,158191.000,23079,3,AY,1,100,-0.086
1735117624.512112,158231.000,23079,3,AY,1,100,-0.084
1735117624.552112,158271.000,23094,3,AY,1,100,-0.083
1735117624.592112,158311.000,23094,3,AY,1,100,-0.091
1735117624.632113,158351.000,23094,3,AY,1,100,-0.085
1735117624.665112,158384.000,23111,2,AY,1,100,-0.085
1735117624.698112,158417.000,23111,2,AY,1,100,-0.085
1735117624.738112,158457.000,23128,3,AY,1,100,-0.086
1735117624.778113,158497.000,23128,3,AY,1,100,-0.084
1735117624.818113,158537.000,23128,3,AY,1,100,-0.087
1735117624.858113,158577.000,23144,3,AY,1,100,-0.083
1735117624.898113,158617.000,23144,3,AY,1,100,-0.083
1735117624.938113,158657.000,23144,3,AY,1,100,-0.086
1735117624.978113,158697.000,23160,2,AY,1,100,-0.086
