LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1735117625.246113,158965.000,23204,3,PI,1,100,151449
1735117625.286113,159005.000,23204,3,PI,1,100,151465
1735117625.326113,159045.000,23204,3,PI,1,100,151488
1735117625.365780,159084.667,23221,3,PI,1,100,151474
1735117625.405447,159124.333,23221,3,PI,1,100,151501
1735117625.445113,159164.000,23221,3,PI,1,100,151500
1735117625.485613,159204.500,23235,2,PI,1,100,151497
1735117625.526113,159245.000,23235,2,PI,1,100,151503
1735117625.565780,159284.667,23252,3,PI,1,100,151508
1735117625.605447,159324.333,23252,3,PI,1,100,151480
1735117625.645113,159364.000,23252,3,PI,1,100,151439
1735117625.685113,159404.000,23269,2,PI,1,100,151417
1735117625.725114,159444.000,23269,2,PI,1,100,151410
1735117625.765114,159484.000,23286,3,PI,1,100,151435
1735117625.805114,159524.000,23286,3,PI,1,100,151438
1735117625.845114,159564.000,23286,3,PI,1,100,151425
1735117625.885114,159604.000,23301,2,PI,1,100,151443
1735117625.925114,159644.000,23301,2,PI,1,100,151431
1735117625.965114,159684.000,23318,3,PI,1,100,151419
1735117626.005114,159724.000,23318,3,PI,1,100,151435
1735117626.045114,159764.000,23318,3,PI,1,100,151436
1735117626.085114,159804.000,23336,2,PI,1,100,151449
1735117626.125114,159844.000,23336,2,PI,1,100,151485
1735117626.165114,159884.000,23353,3,PI,1,100,151476
1735117626.205114,159924.000,23353,3,PI,1,100,151485
1735117626.245114,159964.000,23353,3,PI,1,100,151502
1735117626.285114,160004.000,23369,3,PI,1,100,151533
1735117626.325114,160044.000,23369,3,PI,1,100,151518
1735117626.365114,160084.000,23369,3,PI,1,100,151554
1735117626.405114,160124.000,23386,3,PI,1,100,151539
1735117626.445114,160164.000,23386,3,PI,1,100,151578
1735117626.485114,160204.000,23386,3,PI,1,100,151586
1735117626.525114,160244.000,23401,2,PI,1,100,151590
1735117626.565114,160284.000,23401,2,PI,1,100,151560
1735117626.605114,160324.000,23419,3,PI,1,100,151522
1735117626.645114,160364.000,23419,3,PI,1,100,151525
1735117626.685115,160404.000,23419,3,PI,1,100,151530
1735117626.725115,160444.000,23435,2,PI,1,100,151550
1735117626.765115,160484.000,23435,2,PI,1,100,151568
1735117626.805115,160524.000,23454,3,PI,1,100,151597
1735117626.845115,160564.000,23454,3,PI,1,100,151584
1735117626.885115,160604.000,23454,3,PI,1,100,151594
1735117626.925115,160644.000,23469,2,PI,1,100,151605
1735117626.965115,160684.000,23469,2,PI,1,100,151595
1735117627.005115,160724.000,23488,3,PI,1,100,151608
1735117627.045115,160764.000,23488,3,PI,1,100,151643
1735117627.085115,160804.000,23488,3,PI,1,100,151651
1735117627.125115,160844.000,23509,2,PI,1,100,151633
1735117627.165115,160884.000,23509,2,PI,1,100,151687
1735117627.205115,160924.000,23526,3,PI,1,100,151692
1735117627.245115,160964.000,23526,3,PI,1,100,151730
1735117627.285115,161004.000,23526,3,PI,1,100,151740
1735117627.325115,161044.000,23541,2,PI,1,100,151740
1735117627.365115,161084.000,23541,2,PI,1,100,151768
1735117627.409782,161128.667,23558,3,PI,1,100,151770
1735117627.454449,161173.333,23558,3,PI,1,100,151796
1735117627.499115,161218.000,23558,3,PI,1,100,151796
1735117627.539115,161258.000,23574,2,PI,1,100,151773
1735117627.579115,161298.000,23574,2,PI,1,100,151762
1735117627.619116,161338.000,23592,3,PI,1,100,151762
1735117627.659116,161378.000,23592,3,PI,1,100,151764
1735117627.699116,161418.000,23592,3,PI,1,100,151781
1735117627.738616,161457.500,23606,2,PI,1,100,151808
1735117627.778116,161497.000,23606,2,PI,1,100,151807
1735117627.818449,161537.333,23623,3,PI,1,100,151806
1735117627.858783,161577.667,23623,3,PI,1,100,151822
1735117627.899116,161618.000,23623,3,PI,1,100,151820
1735117627.939116,161658.000,23640,2,PI,1,100,151838
1735117627.979116,161698.000,23640,2,PI,1,100,151828
1735117628.018783,161737.667,23657,3,PI,1,100,151840
1735117628.058449,161777.333,23657,3,PI,1,100,151853
1735117628.098116,161817.000,23657,3,PI,1,100,151866
1735117628.138616,161857.500,23671,2,PI,1,100,151870
1735117628.179116,161898.000,23671,2,PI,1,100,151882
1735117628.219116,161938.000,23688,3,PI,1,100,151893
1735117628.259116,161978.000,23688,3,PI,1,100,151888
1735117628.299116,162018.000,23688,3,PI,1,100,151917
1735117628.338616,162057.500,23705,2,PI,1,100,151901
1735117628.378116,162097.000,23705,2,PI,1,100,151925
1735117628.418450,162137.333,23722,3,PI,1,100,151936
1735117628.458783,162177.667,23722,3,PI,1,100,151935
1735117628.499116,162218.000,23722,3,PI,1,100,151949
1735117628.538783,162257.667,23736,3,PI,1,100,151945
1735117628.578450,162297.333,23736,3,PI,1,100,151910
1735117628.618117,162337.000,23736,3,PI,1,100,151905
1735117628.658450,162377.333,23754,3,PI,1,100,151912
1735117628.698783,162417.667,23754,3,PI,1,100,151922
1735117628.739117,162458.000,23754,3,PI,1,100,151914
1735117628.778617,162497.500,23772,2,PI,1,100,151929
1735117628.818117,162537.000,23772,2,PI,1,100,151949
1735117628.858117,162577.000,23789,3,PI,1,100,151953
1735117628.898117,162617.000,23789,3,PI,1,100,151959
1735117628.938117,162657.000,23789,3,PI,1,100,151942
1735117628.978617,162697.500,23806,2,PI,1,100,151962
1735117629.019117,162738.000,23806,2,PI,1,100,151974
1735117629.058784,162777.667,23821,3,PI,1,100,151981
1735117629.098450,162817.333,23821,3,PI,1,100,151987
1735117629.138117,162857.000,23821,3,PI,1,100,151983
1735117629.178117,162897.000,23837,2,PI,1,100,151988
1735117629.218117,162937.000,23837,2,PI,1,100,152004
1735117629.258117,162977.000,23855,3,PI,1,100,152019
1735117629.298117,163017.000,23855,3,PI,1,100,152015
1735117629.338117,163057.000,23855,3,PI,1,100,152033
1735117629.378117,163097.000,23871,2,PI,1,100,152046
1735117629.418118,163137.000,23871,2,PI,1,100,152032
1735117629.458117,163177.000,23886,3,PI,1,100,152019
1735117629.498117,163217.000,23886,3,PI,1,100,152015
1735117629.538118,163257.000,23886,3,PI,1,100,152002
1735117629.578618,163297.500,23902,2,PI,1,100,152026
1735117629.619118,163338.000,23902,2,PI,1,100,152013
1735117629.658784,163377.667,23922,3,PI,1,100,152014
1735117629.698451,163417.333,23922,3,PI,1,100,152034
1735117629.738118,163457.000,23922,3,PI,1,100,152030
1735117629.778118,163497.000,23938,2,PI,1,100,152040
1735117629.818118,163537.000,23938,2,PI,1,100,152041
1735117629.858118,163577.000,23954,3,PI,1,100,152037
1735117629.898118,163617.000,23954,3,PI,1,100,152039
1735117629.938118,163657.000,23954,3,PI,1,100,152038
1735117629.978118,163697.000,23970,3,PI,1,100,152062
1735117630.018118,163737.000,23970,3,PI,1,100,152061
1735117630.058118,163777.000,23970,3,PI,1,100,152073
1735117630.098118,163817.000,23987,2,PI,1,100,152068
1735117630.138118,163857.000,23987,2,PI,1,100,152064
1735117630.178118,163897.000,24003,3,PI,1,100,152089
1735117630.218118,163937.000,24003,3,PI,1,100,152093
1735117630.258118,163977.000,24003,3,PI,1,100,152098
1735117630.298618,164017.500,24021,2,PI,1,100,152112
1735117630.339118,164058.000,24021,2,PI,1,100,152092
1735117630.378785,164097.667,24035,3,PI,1,100,152101
1735117630.418452,164137.333,24035,3,PI,1,100,152122
1735117630.458118,164177.000,24035,3,PI,1,100,152115
1735117630.498119,164217.000,24052,2,PI,1,100,152136
1735117630.538119,164257.000,24052,2,PI,1,100,152137
1735117630.578119,164297.000,24069,3,PI,1,100,152134
1735117630.618119,164337.000,24069,3,PI,1,100,152107
1735117630.658119,164377.000,24069,3,PI,1,100,152085
1735117630.698119,164417.000,24086,2,PI,1,100,152096
1735117630.738119,164457.000,24086,2,PI,1,100,152099
1735117630.778119,164497.000,24100,3,PI,1,100,152107
1735117630.818119,164537.000,24100,3,PI,1,100,152094
1735117630.858119,164577.000,24100,3,PI,1,100,152117
1735117630.898119,164617.000,24119,3,PI,1,100,152118
1735117630.938119,164657.000,24119,3,PI,1,100,152108
1735117630.978119,164697.000,24119,3,PI,1,100,152112
1735117631.025119,164744.000,24136,2,PI,1,100,152101
1735117631.072119,164791.000,24136,2,PI,1,100,152097
1735117631.112119,164831.000,24153,2,PI,1,100,152093
1735117631.152119,164871.000,24153,2,PI,1,100,152114
1735117631.192119,164911.000,24168,3,PI,1,100,152110
1735117631.232119,164951.000,24168,3,PI,1,100,152113
1735117631.272119,164991.000,24168,3,PI,1,100,152104
1735117631.311786,165030.667,24185,3,PI,1,100,152111
1735117631.351453,165070.333,24185,3,PI,1,100,152129
1735117631.391119,165110.000,24185,3,PI,1,100,152103
1735117631.431620,165150.500,24201,2,PI,1,100,152126
1735117631.472120,165191.000,24201,2,PI,1,100,152128
1735117631.511786,165230.667,24218,3,PI,1,100,152129
1735117631.551453,165270.333,24218,3,PI,1,100,152123
1735117631.591120,165310.000,24218,3,PI,1,100,152103
1735117631.631120,165350.000,24235,2,PI,1,100,152079
1735117631.671120,165390.000,24235,2,PI,1,100,152080
1735117631.711120,165430.000,24250,3,PI,1,100,152085
1735117631.751120,165470.000,24250,3,PI,1,100,152068
1735117631.791120,165510.000,24250,3,PI,1,100,152091
1735117631.831120,165550.000,24266,2,PI,1,100,152070
1735117631.871120,165590.000,24266,2,PI,1,100,152095
1735117631.911120,165630.000,24284,3,PI,1,100,152094
1735117631.951120,165670.000,24284,3,PI,1,100,152064
