LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1735117622.259110,155978.000,22722,3,MZ,1,100, 8
1735117622.294443,156013.333,22738,3,MZ,1,100, 8
1735117622.329777,156048.667,22738,3,MZ,1,100, 9
1735117622.365110,156084.000,22738,3,MZ,1,100, 8
1735117622.405110,156124.000,22754,2,MZ,1,100, 8
1735117622.445110,156164.000,22754,2,MZ,1,100, 9
1735117622.485110,156204.000,22771,3,MZ,1,100, 8
1735117622.525110,156244.000,22771,3,MZ,1,100, 8
1735117622.565110,156284.000,22771,3,MZ,1,100, 8
1735117622.605110,156324.000,22788,2,MZ,1,100, 7
1735117622.645110,156364.000,22788,2,MZ,1,100, 8
1735117622.685110,156404.000,22803,3,MZ,1,100, 8
1735117622.725110,156444.000,22803,3,MZ,1,100, 9
1735117622.765110,156484.000,22803,3,MZ,1,100, 9
1735117622.805110,156524.000,22819,2,MZ,1,100, 8
1735117622.845110,156564.000,22819,2,MZ,1,100, 8
1735117622.885111,156604.000,22838,3,MZ,1,100, 9
1735117622.925111,156644.000,22838,3,MZ,1,100, 7
1735117622.965111,156684.000,22838,3,MZ,1,100, 8
1735117623.005111,156724.000,22855,2,MZ,1,100, 8
1735117623.045111,156764.000,22855,2,MZ,1,100, 8
1735117623.085111,156804.000,22870,3,MZ,1,100, 9
1735117623.125111,156844.000,22870,3,MZ,1,100, 8
1735117623.165111,156884.000,22870,3,MZ,1,100, 7
1735117623.205111,156924.000,22886,2,MZ,1,100, 9
1735117623.245111,156964.000,22886,2,MZ,1,100, 8
1735117623.285111,157004.000,22904,3,MZ,1,100, 8
1735117623.325111,157044.000,22904,3,MZ,1,100, 7
1735117623.365111,157084.000,22904,3,MZ,1,100, 6
1735117623.400778,157119.667,22920,3,MZ,1,100, 8
1735117623.436445,157155.333,22920,3,MZ,1,100, 8
1735117623.472111,157191.000,22920,3,MZ,1,100, 8
1735117623.512111,157231.000,22936,2,MZ,1,100, 8
1735117623.552111,157271.000,22936,2,MZ,1,100, 8
1735117623.592111,157311.000,22952,3,MZ,1,100, 8
1735117623.632111,157351.000,22952,3,MZ,1,100, 8
1735117623.672111,157391.000,22952,3,MZ,1,100, 8
1735117623.712111,157431.000,22969,3,MZ,1,100, 8
