LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1734179688.991556,377155.000,58670,1,BV,1,100,3.94
1734179693.991555,382155.000,59467,1,BV,1,100,3.94
1734179698.990554,387154.000,60290,1,BV,1,100,3.95
1734179703.990553,392154.000,61103,1,BV,1,100,3.94
1734179708.989552,397153.000,61924,1,BV,1,100,3.95
1734179713.989551,402153.000,62743,1,BV,1,100,3.95
1734179718.988550,407152.000,63546,1,BV,1,100,3.95
1734179723.988549,412152.000,64365,1,BV,1,100,3.95
1734179728.987548,417151.000,65168,1,BV,1,100,3.94
1734179733.987547,422151.000,452,1,BV,1,100,3.95
1734179738.986546,427150.000,1272,1,BV,1,100,3.94
1734179743.986545,432150.000,2089,1,BV,1,100,3.94
1734179748.985544,437149.000,2907,1,BV,1,100,3.95
1734179753.985543,442149.000,3725,1,BV,1,100,3.94
1734179758.984542,447148.000,4565,1,BV,1,100,3.94
1734179763.984541,452148.000,5381,1,BV,1,100,3.94
1734179768.983540,457147.000,6185,1,BV,1,100,3.95
1734179773.983539,462147.000,7019,1,BV,1,100,3.94
1734179778.982538,467146.000,7837,1,BV,1,100,3.95
1734179783.982537,472146.000,8654,1,BV,1,100,3.94
1734179788.981536,477145.000,9469,1,BV,1,100,3.94
1734179793.981535,482145.000,10303,1,BV,1,100,3.94
1734179798.980534,487144.000,11111,1,BV,1,100,3.94
1734179803.980533,492144.000,11927,1,BV,1,100,3.94
1734179808.979532,497143.000,12749,1,BV,1,100,3.95
1734179813.979532,502143.000,13565,1,BV,1,100,3.94
1734179818.978530,507142.000,14381,1,BV,1,100,3.94
1734179823.978529,512142.000,15215,1,BV,1,100,3.94
1734179828.977529,517141.000,16033,1,BV,1,100,3.94
1734179833.977528,522141.000,16850,1,BV,1,100,3.93
1734179838.976527,527140.000,17668,1,BV,1,100,3.94
1734179843.976526,532140.000,18486,1,BV,1,100,3.94
1734179848.975525,537139.000,19322,1,BV,1,100,3.94
1734179853.975524,542139.000,20140,1,BV,1,100,3.93
1734179858.974523,547138.000,20957,1,BV,1,100,3.94
1734179863.974522,552138.000,21774,1,BV,1,100,3.94
1734179868.973521,557137.000,22596,1,BV,1,100,3.94
1734179873.973520,562137.000,23412,1,BV,1,100,3.93
1734179878.972519,567136.000,24248,1,BV,1,100,3.94
1734179883.972518,572136.000,25066,1,BV,1,100,3.93
