LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1734179445.557603,133721.000,19083,3,GZ,1,100,-1.282
1734179445.597603,133761.000,19083,3,GZ,1,100,-0.763
1734179445.637603,133801.000,19098,2,GZ,1,100,0.061
1734179445.677603,133841.000,19098,2,GZ,1,100,0.366
1734179445.717602,133881.000,19115,3,GZ,1,100,0.397
1734179445.757602,133921.000,19115,3,GZ,1,100,-1.495
1734179445.797602,133961.000,19115,3,GZ,1,100,-0.671
1734179445.837603,134001.000,19132,2,GZ,1,100,-0.153
1734179445.877603,134041.000,19132,2,GZ,1,100,-0.214
1734179445.917603,134081.000,19148,3,GZ,1,100,-0.946
1734179445.957603,134121.000,19148,3,GZ,1,100,-0.214
1734179445.997602,134161.000,19148,3,GZ,1,100,0.275
1734179446.037602,134201.000,19166,2,GZ,1,100,-0.916
1734179446.077602,134241.000,19166,2,GZ,1,100,-1.068
1734179446.117602,134281.000,19182,3,GZ,1,100,-0.183
1734179446.157603,134321.000,19182,3,GZ,1,100,-0.519
1734179446.197603,134361.000,19182,3,GZ,1,100,-1.160
1734179446.233269,134396.667,19199,3,GZ,1,100,0.092
1734179446.268936,134432.333,19199,3,GZ,1,100,0.183
1734179446.304602,134468.000,19199,3,GZ,1,100,-1.038
1734179446.344602,134508.000,19217,4,GZ,1,100,0.061
1734179446.384602,134548.000,19217,4,GZ,1,100,0.000
1734179446.424603,134588.000,19217,4,GZ,1,100,-0.580
1734179446.464602,134628.000,19217,4,GZ,1,100,-0.031
1734179446.504602,134668.000,19233,3,GZ,1,100,0.000
1734179446.544602,134708.000,19233,3,GZ,1,100,-1.007
1734179446.584602,134748.000,19233,3,GZ,1,100,0.916
1734179446.624602,134788.000,19250,2,GZ,1,100,1.129
1734179446.664602,134828.000,19250,2,GZ,1,100,-0.854
1734179446.704602,134868.000,19267,3,GZ,1,100,0.336
1734179446.744602,134908.000,19267,3,GZ,1,100,-0.458
1734179446.784602,134948.000,19267,3,GZ,1,100,-0.580
1734179446.824602,134988.000,19282,2,GZ,1,100,-0.336
1734179446.864602,135028.000,19282,2,GZ,1,100,-0.946
1734179446.904602,135068.000,19300,3,GZ,1,100,-0.031
1734179446.944602,135108.000,19300,3,GZ,1,100,0.000
1734179446.984602,135148.000,19300,3,GZ,1,100,-0.610
1734179447.024602,135188.000,19318,3,GZ,1,100,-0.824
1734179447.064602,135228.000,19318,3,GZ,1,100,0.031
1734179447.104602,135268.000,19318,3,GZ,1,100,-0.732
1734179447.144602,135308.000,19334,2,GZ,1,100,-0.519
1734179447.184602,135348.000,19334,2,GZ,1,100,-0.153
1734179447.224602,135388.000,19350,3,GZ,1,100,-0.244
1734179447.264602,135428.000,19350,3,GZ,1,100,-1.678
1734179447.304602,135468.000,19350,3,GZ,1,100,-0.824
1734179447.344602,135508.000,19366,2,GZ,1,100,1.282
1734179447.384602,135548.000,19366,2,GZ,1,100,0.336
1734179447.419935,135583.333,19383,3,GZ,1,100,-1.099
1734179447.455269,135618.667,19383,3,GZ,1,100,0.427
1734179447.490602,135654.000,19383,3,GZ,1,100,0.397
1734179447.530602,135694.000,19399,3,GZ,1,100,-0.671
1734179447.570602,135734.000,19399,3,GZ,1,100,-0.610
1734179447.610602,135774.000,19399,3,GZ,1,100,-0.305
1734179447.650602,135814.000,19417,2,GZ,1,100,-0.671
1734179447.690602,135854.000,19417,2,GZ,1,100,0.000
1734179447.730602,135894.000,19433,3,GZ,1,100,-0.946
1734179447.770602,135934.000,19433,3,GZ,1,100,-0.061
1734179447.810602,135974.000,19433,3,GZ,1,100,-0.122
1734179447.850602,136014.000,19450,2,GZ,1,100,-0.763
1734179447.890602,136054.000,19450,2,GZ,1,100,-0.610
1734179447.930602,136094.000,19466,3,GZ,1,100,-0.610
1734179447.970602,136134.000,19466,3,GZ,1,100,-0.397
1734179448.010602,136174.000,19466,3,GZ,1,100,0.183
1734179448.050602,136214.000,19484,2,GZ,1,100,-0.977
1734179448.090602,136254.000,19484,2,GZ,1,100,0.519
1734179448.130602,136294.000,19498,3,GZ,1,100,0.458
1734179448.170602,136334.000,19498,3,GZ,1,100,-1.495
1734179448.210602,136374.000,19498,3,GZ,1,100,0.153
1734179448.250602,136414.000,19515,2,GZ,1,100,0.336
1734179448.290602,136454.000,19515,2,GZ,1,100,-1.556
1734179448.330602,136494.000,19539,3,GZ,1,100,0.519
1734179448.370602,136534.000,19539,3,GZ,1,100,-0.488
1734179448.410602,136574.000,19539,3,GZ,1,100,-0.336
1734179448.450602,136614.000,19556,3,GZ,1,100,0.000
1734179448.490602,136654.000,19556,3,GZ,1,100,-0.092
1734179448.530602,136694.000,19556,3,GZ,1,100,-0.702
1734179448.565935,136729.333,19572,3,GZ,1,100,-0.214
1734179448.601269,136764.667,19572,3,GZ,1,100,0.214
1734179448.636602,136800.000,19572,3,GZ,1,100,0.122
1734179448.677102,136840.500,19588,2,GZ,1,100,-0.244
1734179448.717602,136881.000,19588,2,GZ,1,100,-0.488
1734179448.757602,136921.000,19604,3,GZ,1,100,-2.380
1734179448.797602,136961.000,19604,3,GZ,1,100,-2.197
1734179448.837602,137001.000,19604,3,GZ,1,100,-0.183
1734179448.877269,137040.667,19621,3,GZ,1,100,-1.251
