LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734181481.806843,146800.000,21073,3,GY,1,100,0.061
1734181481.846843,146840.000,21090,2,GY,1,100,-1.251
1734181481.886843,146880.000,21090,2,GY,1,100,-0.580
1734181481.926843,146920.000,21107,3,GY,1,100,-0.366
1734181481.966843,146960.000,21107,3,GY,1,100,-1.526
1734181482.006843,147000.000,21107,3,GY,1,100,-1.068
1734181482.046843,147040.000,21122,2,GY,1,100,-0.427
1734181482.086843,147080.000,21122,2,GY,1,100,-1.221
1734181482.126843,147120.000,21140,3,GY,1,100,-2.075
1734181482.166843,147160.000,21140,3,GY,1,100,-1.343
1734181482.206843,147200.000,21140,3,GY,1,100,-0.519
1734181482.246843,147240.000,21157,2,GY,1,100,-0.458
1734181482.286843,147280.000,21157,2,GY,1,100,-1.709
1734181482.326843,147320.000,21174,3,GY,1,100,-0.824
1734181482.366843,147360.000,21174,3,GY,1,100,-0.336
1734181482.406843,147400.000,21174,3,GY,1,100,-1.831
1734181482.446843,147440.000,21190,2,GY,1,100,-1.312
1734181482.486843,147480.000,21190,2,GY,1,100,-0.092
1734181482.526843,147520.000,21205,3,GY,1,100,-1.099
1734181482.566843,147560.000,21205,3,GY,1,100,-1.282
1734181482.606843,147600.000,21205,3,GY,1,100,-0.244
1734181482.646843,147640.000,21223,2,GY,1,100,-1.709
1734181482.686843,147680.000,21223,2,GY,1,100,-3.479
1734181482.726843,147720.000,21243,3,GY,1,100,-4.364
1734181482.766843,147760.000,21243,3,GY,1,100,-2.045
1734181482.806843,147800.000,21243,3,GY,1,100,0.854
1734181482.843343,147836.500,21260,4,GY,1,100,0.061
1734181482.879843,147873.000,21260,4,GY,1,100,-0.732
1734181482.916343,147909.500,21260,4,GY,1,100,0.214
1734181482.952843,147946.000,21260,4,GY,1,100,-1.221
1734181482.992843,147986.000,21277,2,GY,1,100,-3.082
1734181483.032843,148026.000,21277,2,GY,1,100,-1.190
1734181483.072843,148066.000,21292,3,GY,1,100,-1.282
1734181483.112843,148106.000,21292,3,GY,1,100,-1.526
1734181483.152843,148146.000,21292,3,GY,1,100,-0.549
1734181483.192843,148186.000,21310,3,GY,1,100,-1.617
1734181483.232843,148226.000,21310,3,GY,1,100,-0.977
1734181483.272843,148266.000,21310,3,GY,1,100,-1.007
1734181483.312843,148306.000,21328,2,GY,1,100,-1.495
1734181483.352843,148346.000,21328,2,GY,1,100,-0.214
1734181483.392843,148386.000,21344,3,GY,1,100,0.061
1734181483.432842,148426.000,21344,3,GY,1,100,0.092
1734181483.472843,148466.000,21344,3,GY,1,100,-0.366
1734181483.512843,148506.000,21359,2,GY,1,100,-0.092
1734181483.552843,148546.000,21359,2,GY,1,100,0.092
1734181483.592843,148586.000,21376,3,GY,1,100,-1.190
1734181483.632843,148626.000,21376,3,GY,1,100,0.427
1734181483.672843,148666.000,21376,3,GY,1,100,0.549
1734181483.712842,148706.000,21393,2,GY,1,100,-1.068
1734181483.752842,148746.000,21393,2,GY,1,100,-0.610
1734181483.792842,148786.000,21409,3,GY,1,100,-1.831
1734181483.832843,148826.000,21409,3,GY,1,100,-4.272
1734181483.872843,148866.000,21409,3,GY,1,100,-2.808
1734181483.912843,148906.000,21424,2,GY,1,100,0.458
1734181483.952842,148946.000,21424,2,GY,1,100,0.031
1734181483.992842,148986.000,21441,3,GY,1,100,-1.556
1734181484.032842,149026.000,21441,3,GY,1,100,-0.671
1734181484.072842,149066.000,21441,3,GY,1,100,-0.031
1734181484.108509,149101.667,21458,3,GY,1,100,-1.312
1734181484.144176,149137.333,21458,3,GY,1,100,-1.007
1734181484.179842,149173.000,21458,3,GY,1,100,0.305
