LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1735118510.491995,1044209.000,36484,2,AY,1,100,-0.032
1735118510.531995,1044249.000,36503,3,AY,1,100,-0.017
1735118510.571995,1044289.000,36503,3,AY,1,100,-0.002
1735118510.611995,1044329.000,36503,3,AY,1,100,-0.024
1735118510.651995,1044369.000,36522,2,AY,1,100,-0.049
1735118510.691995,1044409.000,36522,2,AY,1,100,-0.026
1735118510.731995,1044449.000,36536,3,AY,1,100,0.006
1735118510.771995,1044489.000,36536,3,AY,1,100,-0.021
1735118510.811995,1044529.000,36536,3,AY,1,100,-0.069
1735118510.851995,1044569.000,36554,2,AY,1,100,-0.053
1735118510.891995,1044609.000,36554,2,AY,1,100,-0.002
1735118510.931995,1044649.000,36570,3,AY,1,100,-0.020
1735118510.971995,1044689.000,36570,3,AY,1,100,-0.005
1735118511.011996,1044729.000,36570,3,AY,1,100,-0.033
1735118511.047329,1044764.333,36587,3,AY,1,100,-0.024
1735118511.082662,1044799.667,36587,3,AY,1,100,-0.009
1735118511.117996,1044835.000,36587,3,AY,1,100,-0.022
1735118511.157996,1044875.000,36602,2,AY,1,100,-0.024
1735118511.197996,1044915.000,36602,2,AY,1,100,-0.023
1735118511.237996,1044955.000,36619,3,AY,1,100,-0.016
1735118511.277996,1044995.000,36619,3,AY,1,100,0.000
1735118511.317996,1045035.000,36619,3,AY,1,100,-0.033
1735118511.357996,1045075.000,36637,3,AY,1,100,-0.029
1735118511.397996,1045115.000,36637,3,AY,1,100,-0.020
1735118511.437996,1045155.000,36637,3,AY,1,100,-0.014
1735118511.477996,1045195.000,36654,2,AY,1,100,0.005
1735118511.517996,1045235.000,36654,2,AY,1,100,-0.008
1735118511.557996,1045275.000,36671,3,AY,1,100,0.015
1735118511.597996,1045315.000,36671,3,AY,1,100,0.002
1735118511.637996,1045355.000,36671,3,AY,1,100,-0.020
1735118511.677996,1045395.000,36686,2,AY,1,100,-0.026
1735118511.717996,1045435.000,36686,2,AY,1,100,-0.022
1735118511.757997,1045475.000,36702,3,AY,1,100,-0.010
1735118511.797997,1045515.000,36702,3,AY,1,100,-0.020
1735118511.837997,1045555.000,36702,3,AY,1,100,-0.029
1735118511.877997,1045595.000,36720,2,AY,1,100,-0.028
1735118511.917997,1045635.000,36720,2,AY,1,100,-0.030
1735118511.957997,1045675.000,36738,3,AY,1,100,-0.013
1735118511.997997,1045715.000,36738,3,AY,1,100,-0.013
1735118512.037997,1045755.000,36738,3,AY,1,100,-0.015
1735118512.077997,1045795.000,36753,2,AY,1,100,-0.015
1735118512.117997,1045835.000,36753,2,AY,1,100,-0.021
1735118512.155397,1045872.400,36776,5,AY,1,100,-0.007
1735118512.192797,1045909.800,36776,5,AY,1,100,-0.022
1735118512.230197,1045947.200,36776,5,AY,1,100,-0.018
1735118512.267597,1045984.600,36776,5,AY,1,100,-0.023
1735118512.304997,1046022.000,36776,5,AY,1,100,-0.026
1735118512.344997,1046062.000,36790,2,AY,1,100,-0.010
1735118512.384997,1046102.000,36790,2,AY,1,100,-0.016
1735118512.424998,1046142.000,36807,3,AY,1,100,-0.013
1735118512.464998,1046182.000,36807,3,AY,1,100,-0.006
1735118512.504998,1046222.000,36807,3,AY,1,100,-0.013
1735118512.544998,1046262.000,36824,2,AY,1,100,-0.023
1735118512.584998,1046302.000,36824,2,AY,1,100,-0.015
1735118512.624998,1046342.000,36841,3,AY,1,100,-0.007
1735118512.664998,1046382.000,36841,3,AY,1,100,-0.027
1735118512.704998,1046422.000,36841,3,AY,1,100,-0.019
1735118512.744998,1046462.000,36857,3,AY,1,100,0.002
