LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1735118510.252494,1043969.500,36455,2,GZ,1,100,0.061
1735118510.291994,1044009.000,36455,2,GZ,1,100,-0.488
1735118510.331995,1044049.000,36471,3,GZ,1,100,0.305
1735118510.371994,1044089.000,36471,3,GZ,1,100,-0.275
1735118510.411995,1044129.000,36471,3,GZ,1,100,-0.946
1735118510.451995,1044169.000,36488,2,GZ,1,100,-0.519
1735118510.491995,1044209.000,36488,2,GZ,1,100,0.214
1735118510.531995,1044249.000,36507,3,GZ,1,100,-0.214
1735118510.571995,1044289.000,36507,3,GZ,1,100,-0.763
1735118510.611995,1044329.000,36507,3,GZ,1,100,0.732
1735118510.651995,1044369.000,36526,2,GZ,1,100,0.946
1735118510.691995,1044409.000,36526,2,GZ,1,100,-0.183
1735118510.731995,1044449.000,36540,3,GZ,1,100,-0.122
1735118510.771995,1044489.000,36540,3,GZ,1,100,0.946
1735118510.811995,1044529.000,36540,3,GZ,1,100,0.793
1735118510.851995,1044569.000,36558,2,GZ,1,100,-2.075
1735118510.891995,1044609.000,36558,2,GZ,1,100,-2.411
1735118510.931995,1044649.000,36574,3,GZ,1,100,-1.068
1735118510.971995,1044689.000,36574,3,GZ,1,100,-1.923
1735118511.011996,1044729.000,36574,3,GZ,1,100,-2.319
1735118511.047329,1044764.333,36591,3,GZ,1,100,-2.167
1735118511.082662,1044799.667,36591,3,GZ,1,100,-0.977
1735118511.117996,1044835.000,36591,3,GZ,1,100,-2.228
1735118511.157996,1044875.000,36606,2,GZ,1,100,-2.350
1735118511.197996,1044915.000,36606,2,GZ,1,100,-0.885
1735118511.237996,1044955.000,36623,3,GZ,1,100,-0.977
1735118511.277996,1044995.000,36623,3,GZ,1,100,-2.197
1735118511.317996,1045035.000,36623,3,GZ,1,100,-0.519
1735118511.357996,1045075.000,36641,3,GZ,1,100,-1.007
1735118511.397996,1045115.000,36641,3,GZ,1,100,-2.014
1735118511.437996,1045155.000,36641,3,GZ,1,100,-2.686
1735118511.477996,1045195.000,36658,2,GZ,1,100,-2.136
1735118511.517996,1045235.000,36658,2,GZ,1,100,-1.068
1735118511.557996,1045275.000,36675,3,GZ,1,100,-0.183
1735118511.597996,1045315.000,36675,3,GZ,1,100,1.556
1735118511.637996,1045355.000,36675,3,GZ,1,100,2.502
1735118511.677996,1045395.000,36690,2,GZ,1,100,2.472
1735118511.717996,1045435.000,36690,2,GZ,1,100,1.831
1735118511.757997,1045475.000,36706,3,GZ,1,100,0.916
1735118511.797997,1045515.000,36706,3,GZ,1,100,0.763
1735118511.837997,1045555.000,36706,3,GZ,1,100,0.854
1735118511.877997,1045595.000,36724,2,GZ,1,100,0.427
1735118511.917997,1045635.000,36724,2,GZ,1,100,0.092
1735118511.957997,1045675.000,36742,3,GZ,1,100,-1.221
1735118511.997997,1045715.000,36742,3,GZ,1,100,-1.495
1735118512.037997,1045755.000,36742,3,GZ,1,100,-1.129
1735118512.077997,1045795.000,36757,2,GZ,1,100,-0.732
1735118512.117997,1045835.000,36757,2,GZ,1,100,-0.488
1735118512.155397,1045872.400,36780,5,GZ,1,100,-0.854
1735118512.192797,1045909.800,36780,5,GZ,1,100,-0.275
1735118512.230197,1045947.200,36780,5,GZ,1,100,-0.336
1735118512.267597,1045984.600,36780,5,GZ,1,100,0.214
1735118512.304997,1046022.000,36780,5,GZ,1,100,0.336
1735118512.344997,1046062.000,36794,2,GZ,1,100,-0.305
1735118512.384997,1046102.000,36794,2,GZ,1,100,-0.275
1735118512.424998,1046142.000,36811,3,GZ,1,100,-0.122
1735118512.464998,1046182.000,36811,3,GZ,1,100,-0.580
1735118512.504998,1046222.000,36811,3,GZ,1,100,-0.732
1735118512.544998,1046262.000,36828,2,GZ,1,100,-0.336
1735118512.584998,1046302.000,36828,2,GZ,1,100,0.031
1735118512.624998,1046342.000,36845,3,GZ,1,100,-0.732
1735118512.664998,1046382.000,36845,3,GZ,1,100,-0.916
1735118512.704998,1046422.000,36845,3,GZ,1,100,-1.099
1735118512.744998,1046462.000,36861,3,GZ,1,100,-1.343
1735118512.784998,1046502.000,36861,3,GZ,1,100,-1.312
1735118512.824998,1046542.000,36861,3,GZ,1,100,-1.190
1735118512.864998,1046582.000,36879,2,GZ,1,100,-1.282
1735118512.904998,1046622.000,36879,2,GZ,1,100,-0.946
1735118512.944998,1046662.000,36895,3,GZ,1,100,0.275
