LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1735118513.264999,1046982.000,36945,2,MX,1,100,-37
1735118513.304999,1047022.000,36945,2,MX,1,100,-37
1735118513.344999,1047062.000,36961,3,MX,1,100,-37
1735118513.384999,1047102.000,36961,3,MX,1,100,-38
1735118513.424999,1047142.000,36961,3,MX,1,100,-36
1735118513.460666,1047177.667,36980,3,MX,1,100,-37
1735118513.496332,1047213.333,36980,3,MX,1,100,-38
1735118513.531999,1047249.000,36980,3,MX,1,100,-37
1735118513.571499,1047288.500,36997,2,MX,1,100,-37
1735118513.610999,1047328.000,36997,2,MX,1,100,-36
1735118513.650999,1047368.000,37012,3,MX,1,100,-37
1735118513.690999,1047408.000,37012,3,MX,1,100,-37
1735118513.730999,1047448.000,37012,3,MX,1,100,-36
1735118513.770999,1047488.000,37028,2,MX,1,100,-36
1735118513.811000,1047528.000,37028,2,MX,1,100,-37
1735118513.851000,1047568.000,37046,4,MX,1,100,-37
1735118513.891000,1047608.000,37046,4,MX,1,100,-38
1735118513.931000,1047648.000,37046,4,MX,1,100,-38
1735118513.971000,1047688.000,37046,4,MX,1,100,-37
1735118514.011000,1047728.000,37062,2,MX,1,100,-37
1735118514.051000,1047768.000,37062,2,MX,1,100,-38
1735118514.091000,1047808.000,37079,3,MX,1,100,-36
1735118514.131000,1047848.000,37079,3,MX,1,100,-37
1735118514.171000,1047888.000,37079,3,MX,1,100,-37
1735118514.211000,1047928.000,37094,2,MX,1,100,-37
1735118514.251000,1047968.000,37094,2,MX,1,100,-36
1735118514.291000,1048008.000,37111,3,MX,1,100,-37
1735118514.331000,1048048.000,37111,3,MX,1,100,-37
1735118514.371000,1048088.000,37111,3,MX,1,100,-37
1735118514.411000,1048128.000,37129,3,MX,1,100,-36
1735118514.451000,1048168.000,37129,3,MX,1,100,-36
1735118514.491000,1048208.000,37129,3,MX,1,100,-38
1735118514.531001,1048248.000,37147,2,MX,1,100,-37
1735118514.571001,1048288.000,37147,2,MX,1,100,-37
1735118514.606667,1048323.667,37161,3,MX,1,100,-37
1735118514.642334,1048359.333,37161,3,MX,1,100,-36
1735118514.678001,1048395.000,37161,3,MX,1,100,-37
1735118514.718001,1048435.000,37178,2,MX,1,100,-37
1735118514.758001,1048475.000,37178,2,MX,1,100,-36
1735118514.798001,1048515.000,37194,3,MX,1,100,-37
1735118514.838001,1048555.000,37194,3,MX,1,100,-38
1735118514.878001,1048595.000,37194,3,MX,1,100,-36
1735118514.918001,1048635.000,37212,2,MX,1,100,-37
1735118514.958001,1048675.000,37212,2,MX,1,100,-38
1735118514.998001,1048715.000,37226,3,MX,1,100,-38
1735118515.038001,1048755.000,37226,3,MX,1,100,-38
1735118515.078001,1048795.000,37226,3,MX,1,100,-36
1735118515.118335,1048835.333,37243,3,MX,1,100,-37
1735118515.158668,1048875.667,37243,3,MX,1,100,-37
1735118515.199002,1048916.000,37243,3,MX,1,100,-37
1735118515.238502,1048955.500,37260,2,MX,1,100,-38
1735118515.278002,1048995.000,37260,2,MX,1,100,-37
1735118515.318002,1049035.000,37277,3,MX,1,100,-38
1735118515.358002,1049075.000,37277,3,MX,1,100,-38
1735118515.398002,1049115.000,37277,3,MX,1,100,-38
1735118515.438002,1049155.000,37293,2,MX,1,100,-37
1735118515.478002,1049195.000,37293,2,MX,1,100,-37
1735118515.518002,1049235.000,37311,3,MX,1,100,-38
1735118515.558002,1049275.000,37311,3,MX,1,100,-37
1735118515.598002,1049315.000,37311,3,MX,1,100,-37
1735118515.638002,1049355.000,37327,2,MX,1,100,-37
1735118515.678002,1049395.000,37327,2,MX,1,100,-37
1735118515.718002,1049435.000,37344,3,MX,1,100,-38
1735118515.758002,1049475.000,37344,3,MX,1,100,-38
1735118515.798002,1049515.000,37344,3,MX,1,100,-38
1735118515.833336,1049550.333,37361,3,MX,1,100,-37
1735118515.868669,1049585.667,37361,3,MX,1,100,-37
1735118515.904003,1049621.000,37361,3,MX,1,100,-36
1735118515.944003,1049661.000,37378,2,MX,1,100,-37
1735118515.984003,1049701.000,37378,2,MX,1,100,-37
1735118516.024003,1049741.000,37394,3,MX,1,100,-37
1735118516.064003,1049781.000,37394,3,MX,1,100,-37
1735118516.104003,1049821.000,37394,3,MX,1,100,-37
1735118516.144003,1049861.000,37411,2,MX,1,100,-36
1735118516.184003,1049901.000,37411,2,MX,1,100,-38
1735118516.224003,1049941.000,37430,3,MX,1,100,-37
1735118516.264003,1049981.000,37430,3,MX,1,100,-38
1735118516.304003,1050021.000,37430,3,MX,1,100,-37
1735118516.344003,1050061.000,37445,2,MX,1,100,-38
1735118516.384003,1050101.000,37445,2,MX,1,100,-38
1735118516.424003,1050141.000,37461,3,MX,1,100,-38
1735118516.464003,1050181.000,37461,3,MX,1,100,-38
1735118516.504004,1050221.000,37461,3,MX,1,100,-37
