LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1735118510.331995,1044049.000,36469,3,GX,1,100,-2.502
1735118510.371994,1044089.000,36469,3,GX,1,100,0.854
1735118510.411995,1044129.000,36469,3,GX,1,100,3.906
1735118510.451995,1044169.000,36486,2,GX,1,100,-0.153
1735118510.491995,1044209.000,36486,2,GX,1,100,-0.183
1735118510.531995,1044249.000,36505,3,GX,1,100,2.289
1735118510.571995,1044289.000,36505,3,GX,1,100,4.089
1735118510.611995,1044329.000,36505,3,GX,1,100,-2.258
1735118510.651995,1044369.000,36524,2,GX,1,100,-2.502
1735118510.691995,1044409.000,36524,2,GX,1,100,1.495
1735118510.731995,1044449.000,36538,3,GX,1,100,1.984
1735118510.771995,1044489.000,36538,3,GX,1,100,-0.977
1735118510.811995,1044529.000,36538,3,GX,1,100,-0.427
1735118510.851995,1044569.000,36556,2,GX,1,100,1.678
1735118510.891995,1044609.000,36556,2,GX,1,100,1.587
1735118510.931995,1044649.000,36572,3,GX,1,100,-2.014
1735118510.971995,1044689.000,36572,3,GX,1,100,-0.214
1735118511.011996,1044729.000,36572,3,GX,1,100,3.082
1735118511.047329,1044764.333,36589,3,GX,1,100,0.549
1735118511.082662,1044799.667,36589,3,GX,1,100,-2.014
1735118511.117996,1044835.000,36589,3,GX,1,100,-1.923
1735118511.157996,1044875.000,36604,2,GX,1,100,-1.984
1735118511.197996,1044915.000,36604,2,GX,1,100,0.610
1735118511.237996,1044955.000,36621,3,GX,1,100,-0.763
1735118511.277996,1044995.000,36621,3,GX,1,100,-0.183
1735118511.317996,1045035.000,36621,3,GX,1,100,0.214
1735118511.357996,1045075.000,36639,3,GX,1,100,2.716
1735118511.397996,1045115.000,36639,3,GX,1,100,1.648
1735118511.437996,1045155.000,36639,3,GX,1,100,3.204
1735118511.477996,1045195.000,36656,2,GX,1,100,7.812
1735118511.517996,1045235.000,36656,2,GX,1,100,7.141
1735118511.557996,1045275.000,36673,3,GX,1,100,4.974
1735118511.597996,1045315.000,36673,3,GX,1,100,1.373
1735118511.637996,1045355.000,36673,3,GX,1,100,-5.920
1735118511.677996,1045395.000,36688,2,GX,1,100,-5.249
1735118511.717996,1045435.000,36688,2,GX,1,100,-1.984
1735118511.757997,1045475.000,36704,3,GX,1,100,-1.678
1735118511.797997,1045515.000,36704,3,GX,1,100,0.366
1735118511.837997,1045555.000,36704,3,GX,1,100,0.854
1735118511.877997,1045595.000,36722,2,GX,1,100,-1.556
1735118511.917997,1045635.000,36722,2,GX,1,100,-2.289
1735118511.957997,1045675.000,36740,3,GX,1,100,1.526
1735118511.997997,1045715.000,36740,3,GX,1,100,2.747
1735118512.037997,1045755.000,36740,3,GX,1,100,0.153
1735118512.077997,1045795.000,36755,2,GX,1,100,1.434
1735118512.117997,1045835.000,36755,2,GX,1,100,1.556
1735118512.155397,1045872.400,36778,5,GX,1,100,2.075
1735118512.192797,1045909.800,36778,5,GX,1,100,-0.397
1735118512.230197,1045947.200,36778,5,GX,1,100,0.092
1735118512.267597,1045984.600,36778,5,GX,1,100,-0.275
1735118512.304997,1046022.000,36778,5,GX,1,100,-3.510
1735118512.344997,1046062.000,36792,2,GX,1,100,-2.380
1735118512.384997,1046102.000,36792,2,GX,1,100,1.282
1735118512.424998,1046142.000,36809,3,GX,1,100,0.244
1735118512.464998,1046182.000,36809,3,GX,1,100,0.336
1735118512.504998,1046222.000,36809,3,GX,1,100,2.625
1735118512.544998,1046262.000,36826,2,GX,1,100,1.373
1735118512.584998,1046302.000,36826,2,GX,1,100,-1.251
1735118512.624998,1046342.000,36843,3,GX,1,100,0.671
1735118512.664998,1046382.000,36843,3,GX,1,100,0.092
1735118512.704998,1046422.000,36843,3,GX,1,100,-0.641
1735118512.744998,1046462.000,36859,3,GX,1,100,0.000
1735118512.784998,1046502.000,36859,3,GX,1,100,0.580
1735118512.824998,1046542.000,36859,3,GX,1,100,0.275
1735118512.864998,1046582.000,36877,2,GX,1,100,1.282
1735118512.904998,1046622.000,36877,2,GX,1,100,1.831
1735118512.944998,1046662.000,36893,3,GX,1,100,1.373
1735118512.984998,1046702.000,36893,3,GX,1,100,-2.014
1735118513.024998,1046742.000,36893,3,GX,1,100,-2.106
1735118513.065498,1046782.500,36910,2,GX,1,100,1.740
1735118513.105999,1046823.000,36910,2,GX,1,100,-0.214
1735118513.145665,1046862.667,36925,3,GX,1,100,0.366
1735118513.185332,1046902.333,36925,3,GX,1,100,2.289
1735118513.224999,1046942.000,36925,3,GX,1,100,2.777
1735118513.264999,1046982.000,36942,2,GX,1,100,2.411
1735118513.304999,1047022.000,36942,2,GX,1,100,1.129
1735118513.344999,1047062.000,36958,3,GX,1,100,0.427
1735118513.384999,1047102.000,36958,3,GX,1,100,1.312
1735118513.424999,1047142.000,36958,3,GX,1,100,1.984
1735118513.460666,1047177.667,36977,3,GX,1,100,-0.916
1735118513.496332,1047213.333,36977,3,GX,1,100,-1.587
1735118513.531999,1047249.000,36977,3,GX,1,100,-0.641
1735118513.571499,1047288.500,36994,2,GX,1,100,0.061
1735118513.610999,1047328.000,36994,2,GX,1,100,0.153
1735118513.650999,1047368.000,37009,3,GX,1,100,-0.732
1735118513.690999,1047408.000,37009,3,GX,1,100,-1.434
1735118513.730999,1047448.000,37009,3,GX,1,100,-0.854
1735118513.770999,1047488.000,37025,2,GX,1,100,0.244
