LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1735118677.620987,1211337.750,63674,4,DC,2,100,EA
1735118677.645737,1211362.500,63674,4,DC,2,100,2
1735118677.670487,1211387.250,63674,4,DC,2,100,EL
1735118677.695237,1211412.000,63674,4,DC,2,100,2
1735118677.720737,1211437.500,63692,4,DC,2,100,EA
1735118677.746238,1211463.000,63692,4,DC,2,100,1
1735118677.771738,1211488.500,63692,4,DC,2,100,EL
1735118677.797238,1211514.000,63692,4,DC,2,100,1
1735118677.823738,1211540.500,63710,4,DC,2,100,EA
1735118677.850238,1211567.000,63710,4,DC,2,100,2
1735118677.876738,1211593.500,63710,4,DC,2,100,EL
1735118677.903238,1211620.000,63710,4,DC,2,100,2
1735118677.927238,1211644.000,63728,4,DC,2,100,EA
1735118677.951238,1211668.000,63728,4,DC,2,100,1
1735118677.975238,1211692.000,63728,4,DC,2,100,EL
1735118677.999238,1211716.000,63728,4,DC,2,100,1
1735118678.025488,1211742.250,63743,4,DC,2,100,EA
1735118678.051738,1211768.500,63743,4,DC,2,100,2
1735118678.077988,1211794.750,63743,4,DC,2,100,EL
1735118678.104238,1211821.000,63743,4,DC,2,100,2
1735118678.129488,1211846.250,63761,4,DC,2,100,EA
1735118678.154738,1211871.500,63761,4,DC,2,100,1
1735118678.179988,1211896.750,63761,4,DC,2,100,EL
1735118678.205238,1211922.000,63761,4,DC,2,100,1
1735118678.230738,1211947.500,63779,4,DC,2,100,EA
1735118678.256238,1211973.000,63779,4,DC,2,100,2
1735118678.281738,1211998.500,63779,4,DC,2,100,EL
1735118678.307238,1212024.000,63779,4,DC,2,100,2
1735118678.331988,1212048.750,63797,4,DC,2,100,EA
1735118678.356739,1212073.500,63797,4,DC,2,100,1
1735118678.381489,1212098.250,63797,4,DC,2,100,EL
1735118678.406239,1212123.000,63797,4,DC,2,100,1
1735118678.431739,1212148.500,63812,4,DC,2,100,EA
1735118678.457239,1212174.000,63812,4,DC,2,100,2
1735118678.482739,1212199.500,63812,4,DC,2,100,EL
1735118678.508239,1212225.000,63812,4,DC,2,100,2
1735118678.533989,1212250.750,63831,4,DC,2,100,EA
1735118678.559739,1212276.500,63831,4,DC,2,100,1
1735118678.585489,1212302.250,63831,4,DC,2,100,EL
1735118678.611239,1212328.000,63831,4,DC,2,100,1
1735118678.636489,1212353.250,63848,4,DC,2,100,EA
1735118678.661739,1212378.500,63848,4,DC,2,100,2
1735118678.686989,1212403.750,63848,4,DC,2,100,EL
1735118678.712239,1212429.000,63848,4,DC,2,100,2
1735118678.737239,1212454.000,63866,4,DC,2,100,EA
1735118678.762239,1212479.000,63866,4,DC,2,100,1
1735118678.787239,1212504.000,63866,4,DC,2,100,EL
1735118678.812239,1212529.000,63866,4,DC,2,100,1
1735118678.838489,1212555.250,63882,4,DC,2,100,EA
1735118678.864739,1212581.500,63882,4,DC,2,100,2
1735118678.890989,1212607.750,63882,4,DC,2,100,EL
1735118678.917239,1212634.000,63882,4,DC,2,100,2
1735118678.941739,1212658.500,63900,4,DC,2,100,EA
1735118678.966239,1212683.000,63900,4,DC,2,100,1
1735118678.990739,1212707.500,63900,4,DC,2,100,EL
1735118679.015239,1212732.000,63900,4,DC,2,100,1
1735118679.040740,1212757.500,63917,4,DC,2,100,EA
1735118679.066240,1212783.000,63917,4,DC,2,100,2
1735118679.091739,1212808.500,63917,4,DC,2,100,EL
1735118679.117239,1212834.000,63917,4,DC,2,100,2
1735118679.142240,1212859.000,63935,4,DC,2,100,EA
1735118679.167240,1212884.000,63935,4,DC,2,100,1
1735118679.192240,1212909.000,63935,4,DC,2,100,EL
1735118679.217240,1212934.000,63935,4,DC,2,100,1
1735118679.242990,1212959.750,63952,4,DC,2,100,EA
1735118679.268740,1212985.500,63952,4,DC,2,100,2
1735118679.294490,1213011.250,63952,4,DC,2,100,EL
1735118679.320240,1213037.000,63952,4,DC,2,100,2
1735118679.345990,1213062.750,63969,4,DC,2,100,EA
1735118679.371740,1213088.500,63969,4,DC,2,100,1
1735118679.397490,1213114.250,63969,4,DC,2,100,EL
1735118679.423240,1213140.000,63969,4,DC,2,100,1
1735118679.447990,1213164.750,63986,4,DC,2,100,EA
1735118679.472740,1213189.500,63986,4,DC,2,100,2
1735118679.497490,1213214.250,63986,4,DC,2,100,EL
1735118679.522240,1213239.000,63986,4,DC,2,100,2
1735118679.549740,1213266.500,64005,4,DC,2,100,EA
1735118679.577240,1213294.000,64005,4,DC,2,100,2
1735118679.604740,1213321.500,64005,4,DC,2,100,EL
1735118679.632240,1213349.000,64005,4,DC,2,100,2
1735118679.655240,1213372.000,64022,4,DC,2,100,EA
1735118679.678240,1213395.000,64022,4,DC,2,100,1
1735118679.701241,1213418.000,64022,4,DC,2,100,EL
1735118679.724241,1213441.000,64022,4,DC,2,100,1
1735118679.749741,1213466.500,64038,4,DC,2,100,EA
1735118679.775240,1213492.000,64038,4,DC,2,100,2
1735118679.800740,1213517.500,64038,4,DC,2,100,EL
1735118679.826241,1213543.000,64038,4,DC,2,100,2
1735118679.852241,1213569.000,64056,4,DC,2,100,EA
1735118679.878241,1213595.000,64056,4,DC,2,100,1
1735118679.904241,1213621.000,64056,4,DC,2,100,EL
