LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1734686988.239216,1264672.000,7530,2,AZ,1,100,0.239
1734686988.279215,1264712.000,7545,3,AZ,1,100,0.223
1734686988.319214,1264752.000,7545,3,AZ,1,100,0.228
1734686988.359213,1264792.000,7545,3,AZ,1,100,0.253
1734686988.399213,1264832.000,7562,2,AZ,1,100,0.242
1734686988.439212,1264872.000,7562,2,AZ,1,100,0.222
1734686988.479211,1264912.000,7579,3,AZ,1,100,0.234
1734686988.519210,1264952.000,7579,3,AZ,1,100,0.234
1734686988.559209,1264992.000,7579,3,AZ,1,100,0.229
1734686988.599209,1265032.000,7597,2,AZ,1,100,0.225
1734686988.639208,1265072.000,7597,2,AZ,1,100,0.213
1734686988.679207,1265112.000,7613,3,AZ,1,100,0.249
1734686988.719206,1265152.000,7613,3,AZ,1,100,0.243
1734686988.759205,1265192.000,7613,3,AZ,1,100,0.233
1734686988.798871,1265231.667,7629,3,AZ,1,100,0.240
1734686988.838537,1265271.333,7629,3,AZ,1,100,0.238
1734686988.878203,1265311.000,7629,3,AZ,1,100,0.244
1734686988.918202,1265351.000,7646,2,AZ,1,100,0.243
1734686988.958201,1265391.000,7646,2,AZ,1,100,0.231
1734686988.998201,1265431.000,7663,3,AZ,1,100,0.241
1734686989.038200,1265471.000,7663,3,AZ,1,100,0.245
1734686989.078199,1265511.000,7663,3,AZ,1,100,0.249
1734686989.118198,1265551.000,7678,2,AZ,1,100,0.246
1734686989.158198,1265591.000,7678,2,AZ,1,100,0.232
1734686989.198197,1265631.000,7694,3,AZ,1,100,0.240
1734686989.238196,1265671.000,7694,3,AZ,1,100,0.234
1734686989.278195,1265711.000,7694,3,AZ,1,100,0.225
1734686989.313861,1265746.667,7711,3,AZ,1,100,0.232
1734686989.349527,1265782.333,7711,3,AZ,1,100,0.235
1734686989.385193,1265818.000,7711,3,AZ,1,100,0.240
1734686989.425192,1265858.000,7728,2,AZ,1,100,0.241
1734686989.465191,1265898.000,7728,2,AZ,1,100,0.234
1734686989.505191,1265938.000,7744,3,AZ,1,100,0.231
1734686989.545190,1265978.000,7744,3,AZ,1,100,0.240
1734686989.585189,1266018.000,7744,3,AZ,1,100,0.229
1734686989.625188,1266058.000,7759,2,AZ,1,100,0.233
1734686989.665187,1266098.000,7759,2,AZ,1,100,0.235
1734686989.705187,1266138.000,7777,3,AZ,1,100,0.239
1734686989.745186,1266178.000,7777,3,AZ,1,100,0.235
1734686989.785185,1266218.000,7777,3,AZ,1,100,0.235
1734686989.825184,1266258.000,7801,3,AZ,1,100,0.227
1734686989.865184,1266298.000,7801,3,AZ,1,100,0.219
1734686989.905183,1266338.000,7801,3,AZ,1,100,0.239
1734686989.945182,1266378.000,7817,3,AZ,1,100,0.236
1734686989.985181,1266418.000,7817,3,AZ,1,100,0.235
1734686990.025180,1266458.000,7817,3,AZ,1,100,0.219
1734686990.065180,1266498.000,7837,3,AZ,1,100,0.233
1734686990.105179,1266538.000,7837,3,AZ,1,100,0.236
1734686990.145178,1266578.000,7837,3,AZ,1,100,0.231
1734686990.185177,1266618.000,7851,2,AZ,1,100,0.229
1734686990.225176,1266658.000,7851,2,AZ,1,100,0.230
1734686990.265176,1266698.000,7868,3,AZ,1,100,0.231
1734686990.305175,1266738.000,7868,3,AZ,1,100,0.237
1734686990.345174,1266778.000,7868,3,AZ,1,100,0.221
1734686990.380840,1266813.667,7885,3,AZ,1,100,0.225
1734686990.416506,1266849.333,7885,3,AZ,1,100,0.243
1734686990.452172,1266885.000,7885,3,AZ,1,100,0.238
1734686990.492171,1266925.000,7902,2,AZ,1,100,0.221
1734686990.532170,1266965.000,7902,2,AZ,1,100,0.232
1734686990.572170,1267005.000,7918,3,AZ,1,100,0.237
1734686990.612169,1267045.000,7918,3,AZ,1,100,0.234
1734686990.652168,1267085.000,7918,3,AZ,1,100,0.227
1734686990.692167,1267125.000,7936,2,AZ,1,100,0.226
1734686990.732166,1267165.000,7936,2,AZ,1,100,0.233
1734686990.772166,1267205.000,7954,3,AZ,1,100,0.232
1734686990.812165,1267245.000,7954,3,AZ,1,100,0.231
1734686990.852164,1267285.000,7954,3,AZ,1,100,0.228
1734686990.892163,1267325.000,7971,2,AZ,1,100,0.226
1734686990.932162,1267365.000,7971,2,AZ,1,100,0.230
1734686990.972162,1267405.000,7986,3,AZ,1,100,0.225
1734686991.012161,1267445.000,7986,3,AZ,1,100,0.237
1734686991.052160,1267485.000,7986,3,AZ,1,100,0.228
1734686991.092159,1267525.000,8003,2,AZ,1,100,0.226
1734686991.132158,1267565.000,8003,2,AZ,1,100,0.229
1734686991.172158,1267605.000,8019,3,AZ,1,100,0.222
1734686991.212157,1267645.000,8019,3,AZ,1,100,0.235
1734686991.252156,1267685.000,8019,3,AZ,1,100,0.226
1734686991.292155,1267725.000,8036,2,AZ,1,100,0.223
1734686991.332154,1267765.000,8036,2,AZ,1,100,0.223
1734686991.372154,1267805.000,8055,3,AZ,1,100,0.238
1734686991.412153,1267845.000,8055,3,AZ,1,100,0.227
1734686991.452152,1267885.000,8055,3,AZ,1,100,0.227
1734686991.492151,1267925.000,8070,2,AZ,1,100,0.226
1734686991.532151,1267965.000,8070,2,AZ,1,100,0.232
1734686991.572150,1268005.000,8086,3,AZ,1,100,0.232
1734686991.612149,1268045.000,8086,3,AZ,1,100,0.227
1734686991.652148,1268085.000,8086,3,AZ,1,100,0.227
1734686991.687481,1268120.333,8104,3,AZ,1,100,0.229
1734686991.722813,1268155.667,8104,3,AZ,1,100,0.221
1734686991.758146,1268191.000,8104,3,AZ,1,100,0.230
1734686991.798145,1268231.000,8120,2,AZ,1,100,0.240
1734686991.838144,1268271.000,8120,2,AZ,1,100,0.234
1734686991.878144,1268311.000,8135,3,AZ,1,100,0.228
1734686991.918143,1268351.000,8135,3,AZ,1,100,0.219
1734686991.958142,1268391.000,8135,3,AZ,1,100,0.238
1734686991.998141,1268431.000,8152,3,AZ,1,100,0.230
1734686992.038140,1268471.000,8152,3,AZ,1,100,0.227
1734686992.078140,1268511.000,8152,3,AZ,1,100,0.224
1734686992.118139,1268551.000,8169,2,AZ,1,100,0.230
1734686992.158138,1268591.000,8169,2,AZ,1,100,0.231
1734686992.198137,1268631.000,8185,3,AZ,1,100,0.219
1734686992.238136,1268671.000,8185,3,AZ,1,100,0.226
