LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1734686986.105258,1262538.000,7189,2,GZ,1,100,-0.153
1734686986.145257,1262578.000,7205,3,GZ,1,100,1.465
1734686986.185256,1262618.000,7205,3,GZ,1,100,-0.031
1734686986.225256,1262658.000,7205,3,GZ,1,100,-0.793
1734686986.265255,1262698.000,7222,2,GZ,1,100,0.000
1734686986.305254,1262738.000,7222,2,GZ,1,100,-0.793
1734686986.345253,1262778.000,7239,3,GZ,1,100,0.153
1734686986.385252,1262818.000,7239,3,GZ,1,100,0.366
1734686986.425252,1262858.000,7239,3,GZ,1,100,1.678
1734686986.465251,1262898.000,7256,2,GZ,1,100,1.160
1734686986.505250,1262938.000,7256,2,GZ,1,100,0.824
1734686986.545249,1262978.000,7270,3,GZ,1,100,-0.427
1734686986.585249,1263018.000,7270,3,GZ,1,100,-0.519
1734686986.625248,1263058.000,7270,3,GZ,1,100,-1.312
1734686986.665247,1263098.000,7288,3,GZ,1,100,-0.458
1734686986.705246,1263138.000,7288,3,GZ,1,100,0.153
1734686986.745245,1263178.000,7288,3,GZ,1,100,-1.099
1734686986.785245,1263218.000,7304,2,GZ,1,100,-1.373
1734686986.825244,1263258.000,7304,2,GZ,1,100,-1.923
1734686986.865243,1263298.000,7321,3,GZ,1,100,-0.885
1734686986.905242,1263338.000,7321,3,GZ,1,100,-1.160
1734686986.945241,1263378.000,7321,3,GZ,1,100,-0.702
1734686986.978741,1263411.500,7335,2,GZ,1,100,-0.427
1734686987.012240,1263445.000,7335,2,GZ,1,100,-1.617
1734686987.052239,1263485.000,7353,3,GZ,1,100,-1.862
1734686987.092238,1263525.000,7353,3,GZ,1,100,-1.556
1734686987.132238,1263565.000,7353,3,GZ,1,100,-2.747
1734686987.172237,1263605.000,7369,3,GZ,1,100,-3.021
1734686987.212236,1263645.000,7369,3,GZ,1,100,-2.563
1734686987.252235,1263685.000,7369,3,GZ,1,100,-1.740
1734686987.292235,1263725.000,7386,2,GZ,1,100,-1.160
1734686987.332234,1263765.000,7386,2,GZ,1,100,-0.854
1734686987.372233,1263805.000,7401,3,GZ,1,100,-0.275
1734686987.412232,1263845.000,7401,3,GZ,1,100,-1.007
1734686987.452231,1263885.000,7401,3,GZ,1,100,-0.824
1734686987.492231,1263925.000,7418,2,GZ,1,100,-1.892
1734686987.532230,1263965.000,7418,2,GZ,1,100,-3.143
1734686987.572229,1264005.000,7434,3,GZ,1,100,-1.434
1734686987.612228,1264045.000,7434,3,GZ,1,100,-0.671
1734686987.652227,1264085.000,7434,3,GZ,1,100,-1.068
1734686987.692227,1264125.000,7452,2,GZ,1,100,-1.129
1734686987.732226,1264165.000,7452,2,GZ,1,100,-0.793
1734686987.772225,1264205.000,7467,3,GZ,1,100,-0.061
1734686987.812224,1264245.000,7467,3,GZ,1,100,0.488
1734686987.852223,1264285.000,7467,3,GZ,1,100,0.580
1734686987.892223,1264325.000,7483,2,GZ,1,100,0.305
1734686987.932222,1264365.000,7483,2,GZ,1,100,0.305
1734686987.972221,1264405.000,7500,3,GZ,1,100,0.671
1734686988.012220,1264445.000,7500,3,GZ,1,100,0.549
1734686988.052219,1264485.000,7500,3,GZ,1,100,1.007
1734686988.087885,1264520.667,7517,3,GZ,1,100,0.946
1734686988.123551,1264556.333,7517,3,GZ,1,100,2.197
1734686988.159217,1264592.000,7517,3,GZ,1,100,1.373
